Name,Type,Access,Lon,Lat,Geometry
N'wambu No. 1,Borehole,Public,31.31869,-23.37051,POINT (31.31869 -23.37051)
N'wanetsi,"Dam, concrete weir",Public,31.98101,-24.45389,POINT (31.98101 -24.45389)
N'wanetsi Letaba,Borehole,Public,31.417454,-23.87354,POINT (31.417454 -23.87354)
N'watimhiri,"Dam, earthen",Public,31.80096,-25.05469,POINT (31.80096 -25.05469)
Nyamarhi,Pipeline trough,Public,31.7194,-24.1678,POINT (31.7194 -24.1678)
Nyamundwa,"Dam, earthen",Public,31.33416,-25.02574,POINT (31.33416 -25.02574)
Opsaal,Borehole,Public,31.1759,-22.62333,POINT (31.1759 -22.62333)
Orpen,Borehole,Public,31.393,-24.4714,POINT (31.393 -24.4714)
Pafuri Ranger Quarters No. 1,Borehole,Public,31.20982,-22.41927,POINT (31.20982 -22.41927)
Piet Grobler,"Dam, concrete",Public,31.63333,-24.23278,POINT (31.63333 -24.23278)
Pionier,"Dam, concrete",Public,31.39252,-23.52389,POINT (31.39252 -23.52389)
Punda Maria Gate No. 1,Borehole,Public,31.01041,-22.73857,POINT (31.01041 -22.73857)
Punda Marial personnel quarters No. 1,Borehole,Public,31.02373,-22.69193,POINT (31.02373 -22.69193)
Punda Maria rest camp No. 1,Borehole,Public,31.01172,-22.7347,POINT (31.01172 -22.7347)
Red Rocks,Borehole,Public,31.29358,-23.18171,POINT (31.29358 -23.18171)
Renoster Pan,Borehole,Public,31.51185,-25.32471,POINT (31.51185 -25.32471)
Roodewal,Borehole,Public,31.63462,-24.14307,POINT (31.63462 -24.14307)
Sable,"Dam, earthen",Public,31.23722,-23.93908,POINT (31.23722 -23.93908)
Sable Hide,Borehole,Public,31.23862,-23.93467,POINT (31.23862 -23.93467)
Samevloeiing,Borehole,Public,31.30389,-22.42404,POINT (31.30389 -22.42404)
Sand River bush camp,Borehole,Public,31.68403,-24.94883,POINT (31.68403 -24.94883)
Sand River military base No. 1,Borehole,Public,31.68294,-24.94674,POINT (31.68294 -24.94674)
Sandpiper,Borehole,Public,31.31581,-23.02046,POINT (31.31581 -23.02046)
Satara No. 1,Borehole,Public,31.77833,-24.39778,POINT (31.77833 -24.39778)
Satara trough (East),Pipeline trough,Public,31.780721,-24.393565,POINT (31.780721 -24.393565)
Satara trough (North),Pipeline trough,Public,31.776221,-24.391015,POINT (31.776221 -24.391015)
Shibotwana No. 1,Borehole,Public,31.84702,-24.39305,POINT (31.84702 -24.39305)
Shidakeni,Borehole,Public,31.63823,-23.6671,POINT (31.63823 -23.6671)
Shimangwaneni,"Dam, earthen",Public,31.63896,-24.50352,POINT (31.63896 -24.50352)
Shingwedzi rest camp No. 1,Borehole,Public,31.43412,-23.10765,POINT (31.43412 -23.10765)
Shipandani,Borehole,Public,31.4092,-23.5336,POINT (31.4092 -23.5336)
Shiphampanane,Borehole,Public,31.4897,-25.12351,POINT (31.4897 -25.12351)
Shisha,"Dam, concrete weir",Public,31.23903,-22.84222,POINT (31.23903 -22.84222)
Shitlhave,"Dam, earthen",Public,31.32519,-25.14517,POINT (31.32519 -25.14517)
Silwervis,"Dam, concrete",Public,31.22333,-23.21889,POINT (31.22333 -23.21889)
Stapel Kop,"Dam, earthen",Public,31.25191,-23.59353,POINT (31.25191 -23.59353)
Sunset Dam,"Dam, earthen",Public,31.91149,-25.11735,POINT (31.91149 -25.11735)
Talamati No. 1,Borehole,Public,31.55492,-24.55623,POINT (31.55492 -24.55623)
Tihongonyeni,Borehole,Public,31.44761,-23.43857,POINT (31.44761 -23.43857)
Transport (Vervoer),"Dam, earthen",Public,31.49246,-25.11842,POINT (31.49246 -25.11842)
Tsale No. 1,Borehole,Public,31.36358,-23.65928,POINT (31.36358 -23.65928)
Twanana,Borehole,Public,31.37972,-23.52254,POINT (31.37972 -23.52254)
Voetpad,Borehole,Public,31.52492,-23.301,POINT (31.52492 -23.301)
Voortrekker ('Mitomeni'),Borehole,Public,31.46476,-25.25387,POINT (31.46476 -25.25387)
Welverdiend,Borehole,Public,31.70319,-24.50473,POINT (31.70319 -24.50473)
Wenela,"Dam, concrete weir",Public,31.97685,-24.44577,POINT (31.97685 -24.44577)
Witpens,Pipeline trough,Public,31.75098,-24.32793,POINT (31.75098 -24.32793)
