hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
07:00 - 07:59,,767,659,108,2018-05-20,2018-05-26,CROCODILE BRIDGE GATE,07:00,07:59
11:00 - 11:59,,348,266,82,2018-05-20,2018-05-26,CROCODILE BRIDGE GATE,11:00,11:59
05:00 - 05:59,,148,136,12,2018-05-20,2018-05-26,CROCODILE BRIDGE GATE,05:00,05:59
06:00 - 06:59,,1099,1015,84,2018-05-20,2018-05-26,CROCODILE BRIDGE GATE,06:00,06:59
08:00 - 08:59,,698,641,57,2018-05-20,2018-05-26,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,559,481,78,2018-05-20,2018-05-26,CROCODILE BRIDGE GATE,09:00,09:59
10:00 - 10:59,,435,377,58,2018-05-20,2018-05-26,CROCODILE BRIDGE GATE,10:00,10:59
12:00 - 12:59,,229,140,89,2018-05-20,2018-05-26,CROCODILE BRIDGE GATE,12:00,12:59
13:00 - 13:59,,197,128,69,2018-05-20,2018-05-26,CROCODILE BRIDGE GATE,13:00,13:59
14:00 - 14:59,,229,176,53,2018-05-20,2018-05-26,CROCODILE BRIDGE GATE,14:00,14:59
15:00 - 15:59,,105,70,35,2018-05-20,2018-05-26,CROCODILE BRIDGE GATE,15:00,15:59
16:00 - 16:59,,53,15,38,2018-05-20,2018-05-26,CROCODILE BRIDGE GATE,16:00,16:59
17:00 - 17:59,,5,0,5,2018-05-20,2018-05-26,CROCODILE BRIDGE GATE,17:00,17:59
08:00 - 08:59,,17,16,1,2018-05-20,2018-05-26,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,3,3,0,2018-05-20,2018-05-26,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,16,14,2,2018-05-20,2018-05-26,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,20,4,16,2018-05-20,2018-05-26,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,38,38,0,2018-05-20,2018-05-26,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,23,14,9,2018-05-20,2018-05-26,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,9,9,0,2018-05-20,2018-05-26,GIRIYONDO BORDER GATE,14:00,14:59
05:00 - 05:59,,134,134,0,2018-05-20,2018-05-26,KRUGER GATE,05:00,05:59
06:00 - 06:59,,549,533,16,2018-05-20,2018-05-26,KRUGER GATE,06:00,06:59
07:00 - 07:59,,568,552,16,2018-05-20,2018-05-26,KRUGER GATE,07:00,07:59
08:00 - 08:59,,473,424,49,2018-05-20,2018-05-26,KRUGER GATE,08:00,08:59
09:00 - 09:59,,463,430,33,2018-05-20,2018-05-26,KRUGER GATE,09:00,09:59
10:00 - 10:59,,604,578,26,2018-05-20,2018-05-26,KRUGER GATE,10:00,10:59
11:00 - 11:59,,265,231,34,2018-05-20,2018-05-26,KRUGER GATE,11:00,11:59
