hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
05:00 - 05:59,,1204,1100,104,2019-01-06,2019-01-12,CROCODILE BRIDGE GATE,05:00,05:59
06:00 - 06:59,,1006,934,72,2019-01-06,2019-01-12,CROCODILE BRIDGE GATE,06:00,06:59
07:00 - 07:59,,564,510,54,2019-01-06,2019-01-12,CROCODILE BRIDGE GATE,07:00,07:59
08:00 - 08:59,,471,436,35,2019-01-06,2019-01-12,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,460,421,39,2019-01-06,2019-01-12,CROCODILE BRIDGE GATE,09:00,09:59
10:00 - 10:59,,421,345,76,2019-01-06,2019-01-12,CROCODILE BRIDGE GATE,10:00,10:59
11:00 - 11:59,,317,280,37,2019-01-06,2019-01-12,CROCODILE BRIDGE GATE,11:00,11:59
12:00 - 12:59,,223,177,46,2019-01-06,2019-01-12,CROCODILE BRIDGE GATE,12:00,12:59
13:00 - 13:59,,215,171,44,2019-01-06,2019-01-12,CROCODILE BRIDGE GATE,13:00,13:59
14:00 - 14:59,,224,146,78,2019-01-06,2019-01-12,CROCODILE BRIDGE GATE,14:00,14:59
15:00 - 15:59,,187,150,37,2019-01-06,2019-01-12,CROCODILE BRIDGE GATE,15:00,15:59
16:00 - 16:59,,123,82,41,2019-01-06,2019-01-12,CROCODILE BRIDGE GATE,16:00,16:59
17:00 - 17:59,,114,79,35,2019-01-06,2019-01-12,CROCODILE BRIDGE GATE,17:00,17:59
18:00 - 18:59,,37,8,29,2019-01-06,2019-01-12,CROCODILE BRIDGE GATE,18:00,18:59
08:00 - 08:59,,29,27,2,2019-01-06,2019-01-12,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,25,17,8,2019-01-06,2019-01-12,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,39,35,4,2019-01-06,2019-01-12,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,45,39,6,2019-01-06,2019-01-12,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,27,21,6,2019-01-06,2019-01-12,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,45,33,12,2019-01-06,2019-01-12,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,16,5,11,2019-01-06,2019-01-12,GIRIYONDO BORDER GATE,14:00,14:59
15:00 - 15:59,,8,4,4,2019-01-06,2019-01-12,GIRIYONDO BORDER GATE,15:00,15:59
05:00 - 05:59,,472,470,2,2019-01-06,2019-01-12,KRUGER GATE,05:00,05:59
06:00 - 06:59,,321,304,17,2019-01-06,2019-01-12,KRUGER GATE,06:00,06:59
07:00 - 07:59,,270,253,17,2019-01-06,2019-01-12,KRUGER GATE,07:00,07:59
08:00 - 08:59,,358,348,10,2019-01-06,2019-01-12,KRUGER GATE,08:00,08:59
09:00 - 09:59,,339,322,17,2019-01-06,2019-01-12,KRUGER GATE,09:00,09:59
10:00 - 10:59,,350,322,28,2019-01-06,2019-01-12,KRUGER GATE,10:00,10:59
11:00 - 11:59,,310,253,57,2019-01-06,2019-01-12,KRUGER GATE,11:00,11:59
12:00 - 12:59,,243,213,30,2019-01-06,2019-01-12,KRUGER GATE,12:00,12:59
13:00 - 13:59,,188,146,42,2019-01-06,2019-01-12,KRUGER GATE,13:00,13:59
14:00 - 14:59,,163,128,35,2019-01-06,2019-01-12,KRUGER GATE,14:00,14:59
15:00 - 15:59,,166,145,21,2019-01-06,2019-01-12,KRUGER GATE,15:00,15:59
16:00 - 16:59,,106,72,34,2019-01-06,2019-01-12,KRUGER GATE,16:00,16:59
17:00 - 17:59,,59,36,23,2019-01-06,2019-01-12,KRUGER GATE,17:00,17:59
18:00 - 18:59,,36,6,30,2019-01-06,2019-01-12,KRUGER GATE,18:00,18:59
04:00 - 04:59,,11,0,11,2019-01-06,2019-01-12,MALELANE GATE,04:00,04:59
05:00 - 05:59,,432,237,195,2019-01-06,2019-01-12,MALELANE GATE,05:00,05:59
06:00 - 06:59,,299,249,50,2019-01-06,2019-01-12,MALELANE GATE,06:00,06:59
07:00 - 07:59,,214,187,27,2019-01-06,2019-01-12,MALELANE GATE,07:00,07:59
08:00 - 08:59,,261,196,65,2019-01-06,2019-01-12,MALELANE GATE,08:00,08:59
09:00 - 09:59,,348,225,123,2019-01-06,2019-01-12,MALELANE GATE,09:00,09:59
10:00 - 10:59,,432,304,128,2019-01-06,2019-01-12,MALELANE GATE,10:00,10:59
11:00 - 11:59,,453,306,147,2019-01-06,2019-01-12,MALELANE GATE,11:00,11:59
12:00 - 12:59,,317,190,127,2019-01-06,2019-01-12,MALELANE GATE,12:00,12:59
13:00 - 13:59,,188,95,93,2019-01-06,2019-01-12,MALELANE GATE,13:00,13:59
14:00 - 14:59,,170,88,82,2019-01-06,2019-01-12,MALELANE GATE,14:00,14:59
15:00 - 15:59,,108,43,65,2019-01-06,2019-01-12,MALELANE GATE,15:00,15:59
16:00 - 16:59,,105,41,64,2019-01-06,2019-01-12,MALELANE GATE,16:00,16:59
17:00 - 17:59,,52,0,52,2019-01-06,2019-01-12,MALELANE GATE,17:00,17:59
18:00 - 18:59,,11,4,7,2019-01-06,2019-01-12,MALELANE GATE,18:00,18:59
05:00 - 05:59,,609,596,13,2019-01-06,2019-01-12,NUMBI GATE,05:00,05:59
06:00 - 06:59,,344,335,9,2019-01-06,2019-01-12,NUMBI GATE,06:00,06:59
07:00 - 07:59,,146,144,2,2019-01-06,2019-01-12,NUMBI GATE,07:00,07:59
08:00 - 08:59,,78,75,3,2019-01-06,2019-01-12,NUMBI GATE,08:00,08:59
09:00 - 09:59,,111,92,19,2019-01-06,2019-01-12,NUMBI GATE,09:00,09:59
10:00 - 10:59,,77,59,18,2019-01-06,2019-01-12,NUMBI GATE,10:00,10:59
11:00 - 11:59,,115,68,47,2019-01-06,2019-01-12,NUMBI GATE,11:00,11:59
12:00 - 12:59,,121,87,34,2019-01-06,2019-01-12,NUMBI GATE,12:00,12:59
13:00 - 13:59,,201,106,95,2019-01-06,2019-01-12,NUMBI GATE,13:00,13:59
14:00 - 14:59,,96,57,39,2019-01-06,2019-01-12,NUMBI GATE,14:00,14:59
15:00 - 15:59,,75,36,39,2019-01-06,2019-01-12,NUMBI GATE,15:00,15:59
16:00 - 16:59,,77,34,43,2019-01-06,2019-01-12,NUMBI GATE,16:00,16:59
17:00 - 17:59,,38,1,37,2019-01-06,2019-01-12,NUMBI GATE,17:00,17:59
18:00 - 18:59,,3,0,3,2019-01-06,2019-01-12,NUMBI GATE,18:00,18:59
05:00 - 05:59,,88,69,19,2019-01-06,2019-01-12,ORPEN GATE,05:00,05:59
06:00 - 06:59,,471,388,83,2019-01-06,2019-01-12,ORPEN GATE,06:00,06:59
07:00 - 07:59,,255,204,51,2019-01-06,2019-01-12,ORPEN GATE,07:00,07:59
08:00 - 08:59,,227,203,24,2019-01-06,2019-01-12,ORPEN GATE,08:00,08:59
09:00 - 09:59,,252,218,34,2019-01-06,2019-01-12,ORPEN GATE,09:00,09:59
10:00 - 10:59,,80,49,31,2019-01-06,2019-01-12,ORPEN GATE,10:00,10:59
11:00 - 11:59,,141,80,61,2019-01-06,2019-01-12,ORPEN GATE,11:00,11:59
12:00 - 12:59,,71,41,30,2019-01-06,2019-01-12,ORPEN GATE,12:00,12:59
13:00 - 13:59,,69,33,36,2019-01-06,2019-01-12,ORPEN GATE,13:00,13:59
14:00 - 14:59,,63,26,37,2019-01-06,2019-01-12,ORPEN GATE,14:00,14:59
15:00 - 15:59,,61,20,41,2019-01-06,2019-01-12,ORPEN GATE,15:00,15:59
16:00 - 16:59,,43,11,32,2019-01-06,2019-01-12,ORPEN GATE,16:00,16:59
17:00 - 17:59,,11,1,10,2019-01-06,2019-01-12,ORPEN GATE,17:00,17:59
18:00 - 18:59,,6,2,4,2019-01-06,2019-01-12,ORPEN GATE,18:00,18:59
06:00 - 06:59,,15,8,7,2019-01-06,2019-01-12,PAFURI GATE,06:00,06:59
07:00 - 07:59,,23,19,4,2019-01-06,2019-01-12,PAFURI GATE,07:00,07:59
08:00 - 08:59,,10,4,6,2019-01-06,2019-01-12,PAFURI GATE,08:00,08:59
09:00 - 09:59,,50,23,27,2019-01-06,2019-01-12,PAFURI GATE,09:00,09:59
10:00 - 10:59,,12,8,4,2019-01-06,2019-01-12,PAFURI GATE,10:00,10:59
11:00 - 11:59,,4,4,0,2019-01-06,2019-01-12,PAFURI GATE,11:00,11:59
12:00 - 12:59,,32,23,9,2019-01-06,2019-01-12,PAFURI GATE,12:00,12:59
13:00 - 13:59,,25,23,2,2019-01-06,2019-01-12,PAFURI GATE,13:00,13:59
14:00 - 14:59,,10,9,1,2019-01-06,2019-01-12,PAFURI GATE,14:00,14:59
15:00 - 15:59,,21,21,0,2019-01-06,2019-01-12,PAFURI GATE,15:00,15:59
17:00 - 17:59,,3,3,0,2019-01-06,2019-01-12,PAFURI GATE,17:00,17:59
05:00 - 05:59,,1084,942,142,2019-01-06,2019-01-12,PHABENI GATE,05:00,05:59
06:00 - 06:59,,1036,893,143,2019-01-06,2019-01-12,PHABENI GATE,06:00,06:59
07:00 - 07:59,,467,422,45,2019-01-06,2019-01-12,PHABENI GATE,07:00,07:59
08:00 - 08:59,,329,287,42,2019-01-06,2019-01-12,PHABENI GATE,08:00,08:59
09:00 - 09:59,,325,261,64,2019-01-06,2019-01-12,PHABENI GATE,09:00,09:59
10:00 - 10:59,,309,229,80,2019-01-06,2019-01-12,PHABENI GATE,10:00,10:59
11:00 - 11:59,,313,231,82,2019-01-06,2019-01-12,PHABENI GATE,11:00,11:59
12:00 - 12:59,,215,165,50,2019-01-06,2019-01-12,PHABENI GATE,12:00,12:59
13:00 - 13:59,,152,115,37,2019-01-06,2019-01-12,PHABENI GATE,13:00,13:59
14:00 - 14:59,,182,122,60,2019-01-06,2019-01-12,PHABENI GATE,14:00,14:59
15:00 - 15:59,,147,123,24,2019-01-06,2019-01-12,PHABENI GATE,15:00,15:59
16:00 - 16:59,,69,37,32,2019-01-06,2019-01-12,PHABENI GATE,16:00,16:59
17:00 - 17:59,,2,2,0,2019-01-06,2019-01-12,PHABENI GATE,17:00,17:59
05:00 - 05:59,,260,233,27,2019-01-06,2019-01-12,PHALABORWA GATE,05:00,05:59
06:00 - 06:59,,198,157,41,2019-01-06,2019-01-12,PHALABORWA GATE,06:00,06:59
07:00 - 07:59,,206,189,17,2019-01-06,2019-01-12,PHALABORWA GATE,07:00,07:59
08:00 - 08:59,,185,141,44,2019-01-06,2019-01-12,PHALABORWA GATE,08:00,08:59
09:00 - 09:59,,180,122,58,2019-01-06,2019-01-12,PHALABORWA GATE,09:00,09:59
10:00 - 10:59,,186,128,58,2019-01-06,2019-01-12,PHALABORWA GATE,10:00,10:59
11:00 - 11:59,,200,122,78,2019-01-06,2019-01-12,PHALABORWA GATE,11:00,11:59
12:00 - 12:59,,198,122,76,2019-01-06,2019-01-12,PHALABORWA GATE,12:00,12:59
13:00 - 13:59,,149,60,89,2019-01-06,2019-01-12,PHALABORWA GATE,13:00,13:59
14:00 - 14:59,,113,36,77,2019-01-06,2019-01-12,PHALABORWA GATE,14:00,14:59
15:00 - 15:59,,148,79,69,2019-01-06,2019-01-12,PHALABORWA GATE,15:00,15:59
