hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
06:00 - 06:59,,1102,991,111,2018-10-14,2018-10-20,CROCODILE BRIDGE GATE,06:00,06:59
12:00 - 12:59,,330,274,56,2018-10-14,2018-10-20,CROCODILE BRIDGE GATE,12:00,12:59
15:00 - 15:59,,153,102,51,2018-10-14,2018-10-20,CROCODILE BRIDGE GATE,15:00,15:59
05:00 - 05:59,,1039,894,145,2018-10-14,2018-10-20,CROCODILE BRIDGE GATE,05:00,05:59
07:00 - 07:59,,732,693,39,2018-10-14,2018-10-20,CROCODILE BRIDGE GATE,07:00,07:59
08:00 - 08:59,,799,721,78,2018-10-14,2018-10-20,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,737,660,77,2018-10-14,2018-10-20,CROCODILE BRIDGE GATE,09:00,09:59
10:00 - 10:59,,616,545,71,2018-10-14,2018-10-20,CROCODILE BRIDGE GATE,10:00,10:59
11:00 - 11:59,,388,322,66,2018-10-14,2018-10-20,CROCODILE BRIDGE GATE,11:00,11:59
13:00 - 13:59,,147,121,26,2018-10-14,2018-10-20,CROCODILE BRIDGE GATE,13:00,13:59
14:00 - 14:59,,179,91,88,2018-10-14,2018-10-20,CROCODILE BRIDGE GATE,14:00,14:59
16:00 - 16:59,,84,36,48,2018-10-14,2018-10-20,CROCODILE BRIDGE GATE,16:00,16:59
17:00 - 17:59,,38,4,34,2018-10-14,2018-10-20,CROCODILE BRIDGE GATE,17:00,17:59
18:00 - 18:59,,1,1,0,2018-10-14,2018-10-20,CROCODILE BRIDGE GATE,18:00,18:59
08:00 - 08:59,,14,14,0,2018-10-14,2018-10-20,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,12,12,0,2018-10-14,2018-10-20,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,22,22,0,2018-10-14,2018-10-20,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,22,12,10,2018-10-14,2018-10-20,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,9,9,0,2018-10-14,2018-10-20,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,17,17,0,2018-10-14,2018-10-20,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,8,8,0,2018-10-14,2018-10-20,GIRIYONDO BORDER GATE,14:00,14:59
15:00 - 15:59,,9,9,0,2018-10-14,2018-10-20,GIRIYONDO BORDER GATE,15:00,15:59
16:00 - 16:59,,3,3,0,2018-10-14,2018-10-20,GIRIYONDO BORDER GATE,16:00,16:59
05:00 - 05:59,,549,541,8,2018-10-14,2018-10-20,KRUGER GATE,05:00,05:59
06:00 - 06:59,,369,363,6,2018-10-14,2018-10-20,KRUGER GATE,06:00,06:59
07:00 - 07:59,,365,324,41,2018-10-14,2018-10-20,KRUGER GATE,07:00,07:59
08:00 - 08:59,,539,505,34,2018-10-14,2018-10-20,KRUGER GATE,08:00,08:59
09:00 - 09:59,,596,566,30,2018-10-14,2018-10-20,KRUGER GATE,09:00,09:59
10:00 - 10:59,,541,491,50,2018-10-14,2018-10-20,KRUGER GATE,10:00,10:59
11:00 - 11:59,,533,474,59,2018-10-14,2018-10-20,KRUGER GATE,11:00,11:59
12:00 - 12:59,,341,283,58,2018-10-14,2018-10-20,KRUGER GATE,12:00,12:59
13:00 - 13:59,,254,164,90,2018-10-14,2018-10-20,KRUGER GATE,13:00,13:59
14:00 - 14:59,,308,177,131,2018-10-14,2018-10-20,KRUGER GATE,14:00,14:59
15:00 - 15:59,,209,132,77,2018-10-14,2018-10-20,KRUGER GATE,15:00,15:59
16:00 - 16:59,,120,64,56,2018-10-14,2018-10-20,KRUGER GATE,16:00,16:59
17:00 - 17:59,,131,95,36,2018-10-14,2018-10-20,KRUGER GATE,17:00,17:59
18:00 - 18:59,,3,1,2,2018-10-14,2018-10-20,KRUGER GATE,18:00,18:59
05:00 - 05:59,,968,169,799,2018-10-14,2018-10-20,MALELANE GATE,05:00,05:59
06:00 - 06:59,,448,276,172,2018-10-14,2018-10-20,MALELANE GATE,06:00,06:59
07:00 - 07:59,,283,194,89,2018-10-14,2018-10-20,MALELANE GATE,07:00,07:59
08:00 - 08:59,,569,422,147,2018-10-14,2018-10-20,MALELANE GATE,08:00,08:59
09:00 - 09:59,,789,653,136,2018-10-14,2018-10-20,MALELANE GATE,09:00,09:59
10:00 - 10:59,,519,407,112,2018-10-14,2018-10-20,MALELANE GATE,10:00,10:59
11:00 - 11:59,,716,497,219,2018-10-14,2018-10-20,MALELANE GATE,11:00,11:59
12:00 - 12:59,,393,137,256,2018-10-14,2018-10-20,MALELANE GATE,12:00,12:59
13:00 - 13:59,,323,124,199,2018-10-14,2018-10-20,MALELANE GATE,13:00,13:59
14:00 - 14:59,,205,90,115,2018-10-14,2018-10-20,MALELANE GATE,14:00,14:59
15:00 - 15:59,,252,83,169,2018-10-14,2018-10-20,MALELANE GATE,15:00,15:59
16:00 - 16:59,,142,22,120,2018-10-14,2018-10-20,MALELANE GATE,16:00,16:59
17:00 - 17:59,,108,3,105,2018-10-14,2018-10-20,MALELANE GATE,17:00,17:59
18:00 - 18:59,,2,0,2,2018-10-14,2018-10-20,MALELANE GATE,18:00,18:59
05:00 - 05:59,,2022,2013,9,2018-10-14,2018-10-20,NUMBI GATE,05:00,05:59
06:00 - 06:59,,781,754,27,2018-10-14,2018-10-20,NUMBI GATE,06:00,06:59
07:00 - 07:59,,263,252,11,2018-10-14,2018-10-20,NUMBI GATE,07:00,07:59
08:00 - 08:59,,166,152,14,2018-10-14,2018-10-20,NUMBI GATE,08:00,08:59
09:00 - 09:59,,139,105,34,2018-10-14,2018-10-20,NUMBI GATE,09:00,09:59
10:00 - 10:59,,381,341,40,2018-10-14,2018-10-20,NUMBI GATE,10:00,10:59
11:00 - 11:59,,209,135,74,2018-10-14,2018-10-20,NUMBI GATE,11:00,11:59
12:00 - 12:59,,153,77,76,2018-10-14,2018-10-20,NUMBI GATE,12:00,12:59
13:00 - 13:59,,154,50,104,2018-10-14,2018-10-20,NUMBI GATE,13:00,13:59
14:00 - 14:59,,339,290,49,2018-10-14,2018-10-20,NUMBI GATE,14:00,14:59
15:00 - 15:59,,168,69,99,2018-10-14,2018-10-20,NUMBI GATE,15:00,15:59
16:00 - 16:59,,93,12,81,2018-10-14,2018-10-20,NUMBI GATE,16:00,16:59
17:00 - 17:59,,46,11,35,2018-10-14,2018-10-20,NUMBI GATE,17:00,17:59
18:00 - 18:59,,5,2,3,2018-10-14,2018-10-20,NUMBI GATE,18:00,18:59
05:00 - 05:59,,82,72,10,2018-10-14,2018-10-20,ORPEN GATE,05:00,05:59
06:00 - 06:59,,592,564,28,2018-10-14,2018-10-20,ORPEN GATE,06:00,06:59
07:00 - 07:59,,517,451,66,2018-10-14,2018-10-20,ORPEN GATE,07:00,07:59
08:00 - 08:59,,566,483,83,2018-10-14,2018-10-20,ORPEN GATE,08:00,08:59
09:00 - 09:59,,547,458,89,2018-10-14,2018-10-20,ORPEN GATE,09:00,09:59
10:00 - 10:59,,312,175,137,2018-10-14,2018-10-20,ORPEN GATE,10:00,10:59
11:00 - 11:59,,213,84,129,2018-10-14,2018-10-20,ORPEN GATE,11:00,11:59
12:00 - 12:59,,244,89,155,2018-10-14,2018-10-20,ORPEN GATE,12:00,12:59
13:00 - 13:59,,178,65,113,2018-10-14,2018-10-20,ORPEN GATE,13:00,13:59
14:00 - 14:59,,140,29,111,2018-10-14,2018-10-20,ORPEN GATE,14:00,14:59
15:00 - 15:59,,89,14,75,2018-10-14,2018-10-20,ORPEN GATE,15:00,15:59
16:00 - 16:59,,81,14,67,2018-10-14,2018-10-20,ORPEN GATE,16:00,16:59
17:00 - 17:59,,33,3,30,2018-10-14,2018-10-20,ORPEN GATE,17:00,17:59
05:00 - 05:59,,15,9,6,2018-10-14,2018-10-20,PAFURI GATE,05:00,05:59
06:00 - 06:59,,22,20,2,2018-10-14,2018-10-20,PAFURI GATE,06:00,06:59
07:00 - 07:59,,57,32,25,2018-10-14,2018-10-20,PAFURI GATE,07:00,07:59
08:00 - 08:59,,31,18,13,2018-10-14,2018-10-20,PAFURI GATE,08:00,08:59
09:00 - 09:59,,46,15,31,2018-10-14,2018-10-20,PAFURI GATE,09:00,09:59
10:00 - 10:59,,44,8,36,2018-10-14,2018-10-20,PAFURI GATE,10:00,10:59
11:00 - 11:59,,16,2,14,2018-10-14,2018-10-20,PAFURI GATE,11:00,11:59
12:00 - 12:59,,32,24,8,2018-10-14,2018-10-20,PAFURI GATE,12:00,12:59
