hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
05:00 - 05:59,,1032,928,104,2020-02-23,2020-02-29,CROCODILE BRIDGE GATE,05:00,05:59
06:00 - 06:59,,1157,1071,86,2020-02-23,2020-02-29,CROCODILE BRIDGE GATE,06:00,06:59
07:00 - 07:59,,539,521,18,2020-02-23,2020-02-29,CROCODILE BRIDGE GATE,07:00,07:59
08:00 - 08:59,,608,511,97,2020-02-23,2020-02-29,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,445,367,78,2020-02-23,2020-02-29,CROCODILE BRIDGE GATE,09:00,09:59
10:00 - 10:59,,436,352,84,2020-02-23,2020-02-29,CROCODILE BRIDGE GATE,10:00,10:59
11:00 - 11:59,,317,256,61,2020-02-23,2020-02-29,CROCODILE BRIDGE GATE,11:00,11:59
12:00 - 12:59,,230,176,54,2020-02-23,2020-02-29,CROCODILE BRIDGE GATE,12:00,12:59
13:00 - 13:59,,149,105,44,2020-02-23,2020-02-29,CROCODILE BRIDGE GATE,13:00,13:59
14:00 - 14:59,,160,131,29,2020-02-23,2020-02-29,CROCODILE BRIDGE GATE,14:00,14:59
15:00 - 15:59,,122,79,43,2020-02-23,2020-02-29,CROCODILE BRIDGE GATE,15:00,15:59
16:00 - 16:59,,104,53,51,2020-02-23,2020-02-29,CROCODILE BRIDGE GATE,16:00,16:59
17:00 - 17:59,,27,6,21,2020-02-23,2020-02-29,CROCODILE BRIDGE GATE,17:00,17:59
18:00 - 18:59,,12,2,10,2020-02-23,2020-02-29,CROCODILE BRIDGE GATE,18:00,18:59
08:00 - 08:59,,13,13,0,2020-02-23,2020-02-29,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,6,6,0,2020-02-23,2020-02-29,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,15,9,6,2020-02-23,2020-02-29,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,21,19,2,2020-02-23,2020-02-29,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,7,6,1,2020-02-23,2020-02-29,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,19,15,4,2020-02-23,2020-02-29,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,12,12,0,2020-02-23,2020-02-29,GIRIYONDO BORDER GATE,14:00,14:59
15:00 - 15:59,,8,6,2,2020-02-23,2020-02-29,GIRIYONDO BORDER GATE,15:00,15:59
05:00 - 05:59,,504,482,22,2020-02-23,2020-02-29,KRUGER GATE,05:00,05:59
06:00 - 06:59,,481,470,11,2020-02-23,2020-02-29,KRUGER GATE,06:00,06:59
07:00 - 07:59,,359,351,8,2020-02-23,2020-02-29,KRUGER GATE,07:00,07:59
08:00 - 08:59,,292,273,19,2020-02-23,2020-02-29,KRUGER GATE,08:00,08:59
09:00 - 09:59,,453,424,29,2020-02-23,2020-02-29,KRUGER GATE,09:00,09:59
10:00 - 10:59,,431,404,27,2020-02-23,2020-02-29,KRUGER GATE,10:00,10:59
11:00 - 11:59,,294,265,29,2020-02-23,2020-02-29,KRUGER GATE,11:00,11:59
12:00 - 12:59,,257,234,23,2020-02-23,2020-02-29,KRUGER GATE,12:00,12:59
13:00 - 13:59,,192,166,26,2020-02-23,2020-02-29,KRUGER GATE,13:00,13:59
14:00 - 14:59,,158,114,44,2020-02-23,2020-02-29,KRUGER GATE,14:00,14:59
15:00 - 15:59,,227,133,94,2020-02-23,2020-02-29,KRUGER GATE,15:00,15:59
16:00 - 16:59,,97,34,63,2020-02-23,2020-02-29,KRUGER GATE,16:00,16:59
17:00 - 17:59,,131,56,75,2020-02-23,2020-02-29,KRUGER GATE,17:00,17:59
18:00 - 18:59,,22,10,12,2020-02-23,2020-02-29,KRUGER GATE,18:00,18:59
05:00 - 05:59,,379,140,239,2020-02-23,2020-02-29,MALELANE GATE,05:00,05:59
06:00 - 06:59,,330,233,97,2020-02-23,2020-02-29,MALELANE GATE,06:00,06:59
07:00 - 07:59,,226,162,64,2020-02-23,2020-02-29,MALELANE GATE,07:00,07:59
08:00 - 08:59,,245,198,47,2020-02-23,2020-02-29,MALELANE GATE,08:00,08:59
09:00 - 09:59,,273,166,107,2020-02-23,2020-02-29,MALELANE GATE,09:00,09:59
10:00 - 10:59,,309,202,107,2020-02-23,2020-02-29,MALELANE GATE,10:00,10:59
11:00 - 11:59,,410,223,187,2020-02-23,2020-02-29,MALELANE GATE,11:00,11:59
12:00 - 12:59,,376,182,194,2020-02-23,2020-02-29,MALELANE GATE,12:00,12:59
13:00 - 13:59,,479,268,211,2020-02-23,2020-02-29,MALELANE GATE,13:00,13:59
14:00 - 14:59,,369,145,224,2020-02-23,2020-02-29,MALELANE GATE,14:00,14:59
15:00 - 15:59,,282,169,113,2020-02-23,2020-02-29,MALELANE GATE,15:00,15:59
16:00 - 16:59,,221,74,147,2020-02-23,2020-02-29,MALELANE GATE,16:00,16:59
17:00 - 17:59,,124,46,78,2020-02-23,2020-02-29,MALELANE GATE,17:00,17:59
18:00 - 18:59,,20,0,20,2020-02-23,2020-02-29,MALELANE GATE,18:00,18:59
05:00 - 05:59,,1067,1055,12,2020-02-23,2020-02-29,NUMBI GATE,05:00,05:59
06:00 - 06:59,,403,376,27,2020-02-23,2020-02-29,NUMBI GATE,06:00,06:59
07:00 - 07:59,,118,105,13,2020-02-23,2020-02-29,NUMBI GATE,07:00,07:59
08:00 - 08:59,,184,163,21,2020-02-23,2020-02-29,NUMBI GATE,08:00,08:59
09:00 - 09:59,,209,191,18,2020-02-23,2020-02-29,NUMBI GATE,09:00,09:59
10:00 - 10:59,,113,85,28,2020-02-23,2020-02-29,NUMBI GATE,10:00,10:59
11:00 - 11:59,,100,62,38,2020-02-23,2020-02-29,NUMBI GATE,11:00,11:59
12:00 - 12:59,,112,65,47,2020-02-23,2020-02-29,NUMBI GATE,12:00,12:59
13:00 - 13:59,,159,81,78,2020-02-23,2020-02-29,NUMBI GATE,13:00,13:59
14:00 - 14:59,,137,102,35,2020-02-23,2020-02-29,NUMBI GATE,14:00,14:59
15:00 - 15:59,,27,12,15,2020-02-23,2020-02-29,NUMBI GATE,15:00,15:59
16:00 - 16:59,,45,15,30,2020-02-23,2020-02-29,NUMBI GATE,16:00,16:59
17:00 - 17:59,,55,5,50,2020-02-23,2020-02-29,NUMBI GATE,17:00,17:59
18:00 - 18:59,,9,0,9,2020-02-23,2020-02-29,NUMBI GATE,18:00,18:59
05:00 - 05:59,,97,89,8,2020-02-23,2020-02-29,ORPEN GATE,05:00,05:59
06:00 - 06:59,,741,650,91,2020-02-23,2020-02-29,ORPEN GATE,06:00,06:59
07:00 - 07:59,,272,191,81,2020-02-23,2020-02-29,ORPEN GATE,07:00,07:59
08:00 - 08:59,,208,173,35,2020-02-23,2020-02-29,ORPEN GATE,08:00,08:59
09:00 - 09:59,,334,213,121,2020-02-23,2020-02-29,ORPEN GATE,09:00,09:59
10:00 - 10:59,,208,129,79,2020-02-23,2020-02-29,ORPEN GATE,10:00,10:59
11:00 - 11:59,,140,53,87,2020-02-23,2020-02-29,ORPEN GATE,11:00,11:59
12:00 - 12:59,,167,68,99,2020-02-23,2020-02-29,ORPEN GATE,12:00,12:59
13:00 - 13:59,,129,54,75,2020-02-23,2020-02-29,ORPEN GATE,13:00,13:59
14:00 - 14:59,,77,21,56,2020-02-23,2020-02-29,ORPEN GATE,14:00,14:59
15:00 - 15:59,,88,23,65,2020-02-23,2020-02-29,ORPEN GATE,15:00,15:59
16:00 - 16:59,,64,5,59,2020-02-23,2020-02-29,ORPEN GATE,16:00,16:59
