hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
05:00 - 05:59,,1019,901,118,2020-03-08,2020-03-14,CROCODILE BRIDGE GATE,05:00,05:59
06:00 - 06:59,,1144,1107,37,2020-03-08,2020-03-14,CROCODILE BRIDGE GATE,06:00,06:59
07:00 - 07:59,,401,346,55,2020-03-08,2020-03-14,CROCODILE BRIDGE GATE,07:00,07:59
08:00 - 08:59,,545,504,41,2020-03-08,2020-03-14,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,397,343,54,2020-03-08,2020-03-14,CROCODILE BRIDGE GATE,09:00,09:59
10:00 - 10:59,,283,245,38,2020-03-08,2020-03-14,CROCODILE BRIDGE GATE,10:00,10:59
11:00 - 11:59,,200,158,42,2020-03-08,2020-03-14,CROCODILE BRIDGE GATE,11:00,11:59
12:00 - 12:59,,232,182,50,2020-03-08,2020-03-14,CROCODILE BRIDGE GATE,12:00,12:59
13:00 - 13:59,,122,70,52,2020-03-08,2020-03-14,CROCODILE BRIDGE GATE,13:00,13:59
14:00 - 14:59,,159,103,56,2020-03-08,2020-03-14,CROCODILE BRIDGE GATE,14:00,14:59
15:00 - 15:59,,152,94,58,2020-03-08,2020-03-14,CROCODILE BRIDGE GATE,15:00,15:59
16:00 - 16:59,,152,61,91,2020-03-08,2020-03-14,CROCODILE BRIDGE GATE,16:00,16:59
17:00 - 17:59,,45,8,37,2020-03-08,2020-03-14,CROCODILE BRIDGE GATE,17:00,17:59
18:00 - 18:59,,2,0,2,2020-03-08,2020-03-14,CROCODILE BRIDGE GATE,18:00,18:59
08:00 - 08:59,,8,8,0,2020-03-08,2020-03-14,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,8,8,0,2020-03-08,2020-03-14,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,7,5,2,2020-03-08,2020-03-14,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,14,14,0,2020-03-08,2020-03-14,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,9,9,0,2020-03-08,2020-03-14,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,7,5,2,2020-03-08,2020-03-14,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,8,6,2,2020-03-08,2020-03-14,GIRIYONDO BORDER GATE,14:00,14:59
15:00 - 15:59,,3,3,0,2020-03-08,2020-03-14,GIRIYONDO BORDER GATE,15:00,15:59
05:00 - 05:59,,391,387,4,2020-03-08,2020-03-14,KRUGER GATE,05:00,05:59
06:00 - 06:59,,503,491,12,2020-03-08,2020-03-14,KRUGER GATE,06:00,06:59
07:00 - 07:59,,296,292,4,2020-03-08,2020-03-14,KRUGER GATE,07:00,07:59
08:00 - 08:59,,417,415,2,2020-03-08,2020-03-14,KRUGER GATE,08:00,08:59
09:00 - 09:59,,492,461,31,2020-03-08,2020-03-14,KRUGER GATE,09:00,09:59
10:00 - 10:59,,314,284,30,2020-03-08,2020-03-14,KRUGER GATE,10:00,10:59
11:00 - 11:59,,224,197,27,2020-03-08,2020-03-14,KRUGER GATE,11:00,11:59
12:00 - 12:59,,309,258,51,2020-03-08,2020-03-14,KRUGER GATE,12:00,12:59
13:00 - 13:59,,235,175,60,2020-03-08,2020-03-14,KRUGER GATE,13:00,13:59
14:00 - 14:59,,138,86,52,2020-03-08,2020-03-14,KRUGER GATE,14:00,14:59
15:00 - 15:59,,156,115,41,2020-03-08,2020-03-14,KRUGER GATE,15:00,15:59
16:00 - 16:59,,102,61,41,2020-03-08,2020-03-14,KRUGER GATE,16:00,16:59
17:00 - 17:59,,100,49,51,2020-03-08,2020-03-14,KRUGER GATE,17:00,17:59
05:00 - 05:59,,512,249,263,2020-03-08,2020-03-14,MALELANE GATE,05:00,05:59
06:00 - 06:59,,352,256,96,2020-03-08,2020-03-14,MALELANE GATE,06:00,06:59
07:00 - 07:59,,242,155,87,2020-03-08,2020-03-14,MALELANE GATE,07:00,07:59
08:00 - 08:59,,343,235,108,2020-03-08,2020-03-14,MALELANE GATE,08:00,08:59
09:00 - 09:59,,393,290,103,2020-03-08,2020-03-14,MALELANE GATE,09:00,09:59
10:00 - 10:59,,315,209,106,2020-03-08,2020-03-14,MALELANE GATE,10:00,10:59
11:00 - 11:59,,216,141,75,2020-03-08,2020-03-14,MALELANE GATE,11:00,11:59
12:00 - 12:59,,345,175,170,2020-03-08,2020-03-14,MALELANE GATE,12:00,12:59
13:00 - 13:59,,313,144,169,2020-03-08,2020-03-14,MALELANE GATE,13:00,13:59
14:00 - 14:59,,259,89,170,2020-03-08,2020-03-14,MALELANE GATE,14:00,14:59
15:00 - 15:59,,177,74,103,2020-03-08,2020-03-14,MALELANE GATE,15:00,15:59
16:00 - 16:59,,99,28,71,2020-03-08,2020-03-14,MALELANE GATE,16:00,16:59
17:00 - 17:59,,63,11,52,2020-03-08,2020-03-14,MALELANE GATE,17:00,17:59
05:00 - 05:59,,329,329,0,2020-03-08,2020-03-14,NUMBI GATE,05:00,05:59
06:00 - 06:59,,105,98,7,2020-03-08,2020-03-14,NUMBI GATE,06:00,06:59
07:00 - 07:59,,27,27,0,2020-03-08,2020-03-14,NUMBI GATE,07:00,07:59
08:00 - 08:59,,57,55,2,2020-03-08,2020-03-14,NUMBI GATE,08:00,08:59
