hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
06:00 - 06:59,,2519,2284,235,2018-04-01,2018-04-07,CROCODILE BRIDGE GATE,06:00,06:59
07:00 - 07:59,,1689,1523,166,2018-04-01,2018-04-07,CROCODILE BRIDGE GATE,07:00,07:59
08:00 - 08:59,,1036,951,85,2018-04-01,2018-04-07,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,835,697,138,2018-04-01,2018-04-07,CROCODILE BRIDGE GATE,09:00,09:59
10:00 - 10:59,,588,478,110,2018-04-01,2018-04-07,CROCODILE BRIDGE GATE,10:00,10:59
11:00 - 11:59,,451,334,117,2018-04-01,2018-04-07,CROCODILE BRIDGE GATE,11:00,11:59
05:00 - 05:59,,311,305,6,2018-04-01,2018-04-07,CROCODILE BRIDGE GATE,05:00,05:59
12:00 - 12:59,,376,325,51,2018-04-01,2018-04-07,CROCODILE BRIDGE GATE,12:00,12:59
13:00 - 13:59,,321,258,63,2018-04-01,2018-04-07,CROCODILE BRIDGE GATE,13:00,13:59
14:00 - 14:59,,433,379,54,2018-04-01,2018-04-07,CROCODILE BRIDGE GATE,14:00,14:59
15:00 - 15:59,,241,219,22,2018-04-01,2018-04-07,CROCODILE BRIDGE GATE,15:00,15:59
16:00 - 16:59,,150,115,35,2018-04-01,2018-04-07,CROCODILE BRIDGE GATE,16:00,16:59
17:00 - 17:59,,19,1,18,2018-04-01,2018-04-07,CROCODILE BRIDGE GATE,17:00,17:59
08:00 - 08:59,,42,25,17,2018-04-01,2018-04-07,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,28,27,1,2018-04-01,2018-04-07,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,28,28,0,2018-04-01,2018-04-07,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,46,44,2,2018-04-01,2018-04-07,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,48,48,0,2018-04-01,2018-04-07,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,38,21,17,2018-04-01,2018-04-07,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,54,38,16,2018-04-01,2018-04-07,GIRIYONDO BORDER GATE,14:00,14:59
15:00 - 15:59,,21,15,6,2018-04-01,2018-04-07,GIRIYONDO BORDER GATE,15:00,15:59
16:00 - 16:59,,5,0,5,2018-04-01,2018-04-07,GIRIYONDO BORDER GATE,16:00,16:59
05:00 - 05:59,,114,114,0,2018-04-01,2018-04-07,KRUGER GATE,05:00,05:59
06:00 - 06:59,,864,839,25,2018-04-01,2018-04-07,KRUGER GATE,06:00,06:59
07:00 - 07:59,,417,382,35,2018-04-01,2018-04-07,KRUGER GATE,07:00,07:59
08:00 - 08:59,,624,590,34,2018-04-01,2018-04-07,KRUGER GATE,08:00,08:59
09:00 - 09:59,,692,656,36,2018-04-01,2018-04-07,KRUGER GATE,09:00,09:59
10:00 - 10:59,,635,550,85,2018-04-01,2018-04-07,KRUGER GATE,10:00,10:59
11:00 - 11:59,,590,523,67,2018-04-01,2018-04-07,KRUGER GATE,11:00,11:59
12:00 - 12:59,,513,441,72,2018-04-01,2018-04-07,KRUGER GATE,12:00,12:59
13:00 - 13:59,,383,307,76,2018-04-01,2018-04-07,KRUGER GATE,13:00,13:59
14:00 - 14:59,,364,298,66,2018-04-01,2018-04-07,KRUGER GATE,14:00,14:59
15:00 - 15:59,,272,201,71,2018-04-01,2018-04-07,KRUGER GATE,15:00,15:59
16:00 - 16:59,,162,101,61,2018-04-01,2018-04-07,KRUGER GATE,16:00,16:59
17:00 - 17:59,,110,62,48,2018-04-01,2018-04-07,KRUGER GATE,17:00,17:59
18:00 - 18:59,,7,2,5,2018-04-01,2018-04-07,KRUGER GATE,18:00,18:59
05:00 - 05:59,,427,71,356,2018-04-01,2018-04-07,MALELANE GATE,05:00,05:59
06:00 - 06:59,,1163,780,383,2018-04-01,2018-04-07,MALELANE GATE,06:00,06:59
07:00 - 07:59,,711,559,152,2018-04-01,2018-04-07,MALELANE GATE,07:00,07:59
08:00 - 08:59,,707,458,249,2018-04-01,2018-04-07,MALELANE GATE,08:00,08:59
09:00 - 09:59,,782,565,217,2018-04-01,2018-04-07,MALELANE GATE,09:00,09:59
10:00 - 10:59,,747,425,322,2018-04-01,2018-04-07,MALELANE GATE,10:00,10:59
11:00 - 11:59,,525,273,252,2018-04-01,2018-04-07,MALELANE GATE,11:00,11:59
12:00 - 12:59,,433,197,236,2018-04-01,2018-04-07,MALELANE GATE,12:00,12:59
13:00 - 13:59,,356,149,207,2018-04-01,2018-04-07,MALELANE GATE,13:00,13:59
14:00 - 14:59,,526,270,256,2018-04-01,2018-04-07,MALELANE GATE,14:00,14:59
15:00 - 15:59,,274,134,140,2018-04-01,2018-04-07,MALELANE GATE,15:00,15:59
16:00 - 16:59,,201,82,119,2018-04-01,2018-04-07,MALELANE GATE,16:00,16:59
17:00 - 17:59,,42,5,37,2018-04-01,2018-04-07,MALELANE GATE,17:00,17:59
05:00 - 05:59,,859,859,0,2018-04-01,2018-04-07,NUMBI GATE,05:00,05:59
06:00 - 06:59,,1184,1151,33,2018-04-01,2018-04-07,NUMBI GATE,06:00,06:59
07:00 - 07:59,,421,398,23,2018-04-01,2018-04-07,NUMBI GATE,07:00,07:59
08:00 - 08:59,,323,296,27,2018-04-01,2018-04-07,NUMBI GATE,08:00,08:59
09:00 - 09:59,,273,238,35,2018-04-01,2018-04-07,NUMBI GATE,09:00,09:59
10:00 - 10:59,,289,238,51,2018-04-01,2018-04-07,NUMBI GATE,10:00,10:59
11:00 - 11:59,,210,175,35,2018-04-01,2018-04-07,NUMBI GATE,11:00,11:59
12:00 - 12:59,,177,140,37,2018-04-01,2018-04-07,NUMBI GATE,12:00,12:59
13:00 - 13:59,,202,117,85,2018-04-01,2018-04-07,NUMBI GATE,13:00,13:59
14:00 - 14:59,,257,192,65,2018-04-01,2018-04-07,NUMBI GATE,14:00,14:59
15:00 - 15:59,,98,22,76,2018-04-01,2018-04-07,NUMBI GATE,15:00,15:59
16:00 - 16:59,,74,8,66,2018-04-01,2018-04-07,NUMBI GATE,16:00,16:59
17:00 - 17:59,,33,2,31,2018-04-01,2018-04-07,NUMBI GATE,17:00,17:59
06:00 - 06:59,,499,457,42,2018-04-01,2018-04-07,ORPEN GATE,06:00,06:59
07:00 - 07:59,,465,393,72,2018-04-01,2018-04-07,ORPEN GATE,07:00,07:59
08:00 - 08:59,,400,316,84,2018-04-01,2018-04-07,ORPEN GATE,08:00,08:59
09:00 - 09:59,,509,418,91,2018-04-01,2018-04-07,ORPEN GATE,09:00,09:59
10:00 - 10:59,,308,202,106,2018-04-01,2018-04-07,ORPEN GATE,10:00,10:59
11:00 - 11:59,,358,263,95,2018-04-01,2018-04-07,ORPEN GATE,11:00,11:59
12:00 - 12:59,,282,203,79,2018-04-01,2018-04-07,ORPEN GATE,12:00,12:59
13:00 - 13:59,,303,232,71,2018-04-01,2018-04-07,ORPEN GATE,13:00,13:59
14:00 - 14:59,,147,82,65,2018-04-01,2018-04-07,ORPEN GATE,14:00,14:59
15:00 - 15:59,,137,54,83,2018-04-01,2018-04-07,ORPEN GATE,15:00,15:59
16:00 - 16:59,,154,120,34,2018-04-01,2018-04-07,ORPEN GATE,16:00,16:59
17:00 - 17:59,,69,46,23,2018-04-01,2018-04-07,ORPEN GATE,17:00,17:59
18:00 - 18:59,,5,0,5,2018-04-01,2018-04-07,ORPEN GATE,18:00,18:59
06:00 - 06:59,,28,26,2,2018-04-01,2018-04-07,PAFURI GATE,06:00,06:59
07:00 - 07:59,,31,16,15,2018-04-01,2018-04-07,PAFURI GATE,07:00,07:59
08:00 - 08:59,,65,27,38,2018-04-01,2018-04-07,PAFURI GATE,08:00,08:59
09:00 - 09:59,,43,19,24,2018-04-01,2018-04-07,PAFURI GATE,09:00,09:59
10:00 - 10:59,,37,13,24,2018-04-01,2018-04-07,PAFURI GATE,10:00,10:59
11:00 - 11:59,,79,58,21,2018-04-01,2018-04-07,PAFURI GATE,11:00,11:59
12:00 - 12:59,,22,6,16,2018-04-01,2018-04-07,PAFURI GATE,12:00,12:59
13:00 - 13:59,,36,25,11,2018-04-01,2018-04-07,PAFURI GATE,13:00,13:59
14:00 - 14:59,,7,7,0,2018-04-01,2018-04-07,PAFURI GATE,14:00,14:59
15:00 - 15:59,,13,13,0,2018-04-01,2018-04-07,PAFURI GATE,15:00,15:59
16:00 - 16:59,,6,6,0,2018-04-01,2018-04-07,PAFURI GATE,16:00,16:59
05:00 - 05:59,,388,388,0,2018-04-01,2018-04-07,PHABENI GATE,05:00,05:59
06:00 - 06:59,,2146,2032,114,2018-04-01,2018-04-07,PHABENI GATE,06:00,06:59
07:00 - 07:59,,1267,1179,88,2018-04-01,2018-04-07,PHABENI GATE,07:00,07:59
08:00 - 08:59,,809,673,136,2018-04-01,2018-04-07,PHABENI GATE,08:00,08:59
09:00 - 09:59,,739,615,124,2018-04-01,2018-04-07,PHABENI GATE,09:00,09:59
10:00 - 10:59,,537,384,153,2018-04-01,2018-04-07,PHABENI GATE,10:00,10:59
11:00 - 11:59,,311,224,87,2018-04-01,2018-04-07,PHABENI GATE,11:00,11:59
12:00 - 12:59,,184,137,47,2018-04-01,2018-04-07,PHABENI GATE,12:00,12:59
13:00 - 13:59,,234,183,51,2018-04-01,2018-04-07,PHABENI GATE,13:00,13:59
14:00 - 14:59,,211,178,33,2018-04-01,2018-04-07,PHABENI GATE,14:00,14:59
15:00 - 15:59,,125,91,34,2018-04-01,2018-04-07,PHABENI GATE,15:00,15:59
16:00 - 16:59,,64,42,22,2018-04-01,2018-04-07,PHABENI GATE,16:00,16:59
17:00 - 17:59,,11,4,7,2018-04-01,2018-04-07,PHABENI GATE,17:00,17:59
05:00 - 05:59,,33,27,6,2018-04-01,2018-04-07,PHALABORWA GATE,05:00,05:59
06:00 - 06:59,,756,649,107,2018-04-01,2018-04-07,PHALABORWA GATE,06:00,06:59
07:00 - 07:59,,497,429,68,2018-04-01,2018-04-07,PHALABORWA GATE,07:00,07:59
08:00 - 08:59,,352,278,74,2018-04-01,2018-04-07,PHALABORWA GATE,08:00,08:59
09:00 - 09:59,,472,324,148,2018-04-01,2018-04-07,PHALABORWA GATE,09:00,09:59
10:00 - 10:59,,510,311,199,2018-04-01,2018-04-07,PHALABORWA GATE,10:00,10:59
11:00 - 11:59,,447,276,171,2018-04-01,2018-04-07,PHALABORWA GATE,11:00,11:59
12:00 - 12:59,,395,201,194,2018-04-01,2018-04-07,PHALABORWA GATE,12:00,12:59
13:00 - 13:59,,435,143,292,2018-04-01,2018-04-07,PHALABORWA GATE,13:00,13:59
14:00 - 14:59,,234,78,156,2018-04-01,2018-04-07,PHALABORWA GATE,14:00,14:59
15:00 - 15:59,,237,94,143,2018-04-01,2018-04-07,PHALABORWA GATE,15:00,15:59
16:00 - 16:59,,112,50,62,2018-04-01,2018-04-07,PHALABORWA GATE,16:00,16:59
17:00 - 17:59,,6,0,6,2018-04-01,2018-04-07,PHALABORWA GATE,17:00,17:59
06:00 - 06:59,,192,166,26,2018-04-01,2018-04-07,PUNDA MARIA GATE,06:00,06:59
07:00 - 07:59,,356,351,5,2018-04-01,2018-04-07,PUNDA MARIA GATE,07:00,07:59
08:00 - 08:59,,227,202,25,2018-04-01,2018-04-07,PUNDA MARIA GATE,08:00,08:59
09:00 - 09:59,,203,170,33,2018-04-01,2018-04-07,PUNDA MARIA GATE,09:00,09:59
10:00 - 10:59,,245,208,37,2018-04-01,2018-04-07,PUNDA MARIA GATE,10:00,10:59
