hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
15:00 - 15:59,,241,194,47,2019-04-14,2019-04-20,CROCODILE BRIDGE GATE,15:00,15:59
17:00 - 17:59,,62,14,48,2019-04-14,2019-04-20,CROCODILE BRIDGE GATE,17:00,17:59
05:00 - 05:59,,345,322,23,2019-04-14,2019-04-20,CROCODILE BRIDGE GATE,05:00,05:59
06:00 - 06:59,,1800,1663,137,2019-04-14,2019-04-20,CROCODILE BRIDGE GATE,06:00,06:59
07:00 - 07:59,,1161,1055,106,2019-04-14,2019-04-20,CROCODILE BRIDGE GATE,07:00,07:59
08:00 - 08:59,,792,714,78,2019-04-14,2019-04-20,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,766,654,112,2019-04-14,2019-04-20,CROCODILE BRIDGE GATE,09:00,09:59
10:00 - 10:59,,658,532,126,2019-04-14,2019-04-20,CROCODILE BRIDGE GATE,10:00,10:59
11:00 - 11:59,,353,254,99,2019-04-14,2019-04-20,CROCODILE BRIDGE GATE,11:00,11:59
12:00 - 12:59,,297,199,98,2019-04-14,2019-04-20,CROCODILE BRIDGE GATE,12:00,12:59
13:00 - 13:59,,253,184,69,2019-04-14,2019-04-20,CROCODILE BRIDGE GATE,13:00,13:59
14:00 - 14:59,,424,323,101,2019-04-14,2019-04-20,CROCODILE BRIDGE GATE,14:00,14:59
16:00 - 16:59,,164,70,94,2019-04-14,2019-04-20,CROCODILE BRIDGE GATE,16:00,16:59
18:00 - 18:59,,8,0,8,2019-04-14,2019-04-20,CROCODILE BRIDGE GATE,18:00,18:59
08:00 - 08:59,,10,10,0,2019-04-14,2019-04-20,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,6,6,0,2019-04-14,2019-04-20,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,8,6,2,2019-04-14,2019-04-20,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,27,23,4,2019-04-14,2019-04-20,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,29,23,6,2019-04-14,2019-04-20,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,29,25,4,2019-04-14,2019-04-20,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,35,35,0,2019-04-14,2019-04-20,GIRIYONDO BORDER GATE,14:00,14:59
05:00 - 05:59,,98,98,0,2019-04-14,2019-04-20,KRUGER GATE,05:00,05:59
06:00 - 06:59,,846,799,47,2019-04-14,2019-04-20,KRUGER GATE,06:00,06:59
07:00 - 07:59,,509,453,56,2019-04-14,2019-04-20,KRUGER GATE,07:00,07:59
08:00 - 08:59,,483,431,52,2019-04-14,2019-04-20,KRUGER GATE,08:00,08:59
09:00 - 09:59,,509,438,71,2019-04-14,2019-04-20,KRUGER GATE,09:00,09:59
10:00 - 10:59,,515,423,92,2019-04-14,2019-04-20,KRUGER GATE,10:00,10:59
11:00 - 11:59,,407,297,110,2019-04-14,2019-04-20,KRUGER GATE,11:00,11:59
12:00 - 12:59,,446,388,58,2019-04-14,2019-04-20,KRUGER GATE,12:00,12:59
13:00 - 13:59,,343,275,68,2019-04-14,2019-04-20,KRUGER GATE,13:00,13:59
14:00 - 14:59,,260,218,42,2019-04-14,2019-04-20,KRUGER GATE,14:00,14:59
15:00 - 15:59,,235,153,82,2019-04-14,2019-04-20,KRUGER GATE,15:00,15:59
16:00 - 16:59,,56,27,29,2019-04-14,2019-04-20,KRUGER GATE,16:00,16:59
17:00 - 17:59,,66,34,32,2019-04-14,2019-04-20,KRUGER GATE,17:00,17:59
05:00 - 05:59,,388,84,304,2019-04-14,2019-04-20,MALELANE GATE,05:00,05:59
06:00 - 06:59,,1277,666,611,2019-04-14,2019-04-20,MALELANE GATE,06:00,06:59
07:00 - 07:59,,578,437,141,2019-04-14,2019-04-20,MALELANE GATE,07:00,07:59
08:00 - 08:59,,726,513,213,2019-04-14,2019-04-20,MALELANE GATE,08:00,08:59
09:00 - 09:59,,769,445,324,2019-04-14,2019-04-20,MALELANE GATE,09:00,09:59
10:00 - 10:59,,572,307,265,2019-04-14,2019-04-20,MALELANE GATE,10:00,10:59
11:00 - 11:59,,475,243,232,2019-04-14,2019-04-20,MALELANE GATE,11:00,11:59
12:00 - 12:59,,327,144,183,2019-04-14,2019-04-20,MALELANE GATE,12:00,12:59
13:00 - 13:59,,417,152,265,2019-04-14,2019-04-20,MALELANE GATE,13:00,13:59
14:00 - 14:59,,322,135,187,2019-04-14,2019-04-20,MALELANE GATE,14:00,14:59
15:00 - 15:59,,261,98,163,2019-04-14,2019-04-20,MALELANE GATE,15:00,15:59
16:00 - 16:59,,178,18,160,2019-04-14,2019-04-20,MALELANE GATE,16:00,16:59
17:00 - 17:59,,89,2,87,2019-04-14,2019-04-20,MALELANE GATE,17:00,17:59
05:00 - 05:59,,691,691,0,2019-04-14,2019-04-20,NUMBI GATE,05:00,05:59
06:00 - 06:59,,937,919,18,2019-04-14,2019-04-20,NUMBI GATE,06:00,06:59
07:00 - 07:59,,273,271,2,2019-04-14,2019-04-20,NUMBI GATE,07:00,07:59
08:00 - 08:59,,304,289,15,2019-04-14,2019-04-20,NUMBI GATE,08:00,08:59
09:00 - 09:59,,217,207,10,2019-04-14,2019-04-20,NUMBI GATE,09:00,09:59
10:00 - 10:59,,178,140,38,2019-04-14,2019-04-20,NUMBI GATE,10:00,10:59
11:00 - 11:59,,184,126,58,2019-04-14,2019-04-20,NUMBI GATE,11:00,11:59
12:00 - 12:59,,175,74,101,2019-04-14,2019-04-20,NUMBI GATE,12:00,12:59
13:00 - 13:59,,236,110,126,2019-04-14,2019-04-20,NUMBI GATE,13:00,13:59
14:00 - 14:59,,124,79,45,2019-04-14,2019-04-20,NUMBI GATE,14:00,14:59
15:00 - 15:59,,303,176,127,2019-04-14,2019-04-20,NUMBI GATE,15:00,15:59
16:00 - 16:59,,160,72,88,2019-04-14,2019-04-20,NUMBI GATE,16:00,16:59
17:00 - 17:59,,111,38,73,2019-04-14,2019-04-20,NUMBI GATE,17:00,17:59
06:00 - 06:59,,4,4,0,2019-04-14,2019-04-20,ORPEN GATE,06:00,06:59
07:00 - 07:59,,42,42,0,2019-04-14,2019-04-20,ORPEN GATE,07:00,07:59
08:00 - 08:59,,76,67,9,2019-04-14,2019-04-20,ORPEN GATE,08:00,08:59
09:00 - 09:59,,93,93,0,2019-04-14,2019-04-20,ORPEN GATE,09:00,09:59
10:00 - 10:59,,121,105,16,2019-04-14,2019-04-20,ORPEN GATE,10:00,10:59
11:00 - 11:59,,229,189,40,2019-04-14,2019-04-20,ORPEN GATE,11:00,11:59
12:00 - 12:59,,268,240,28,2019-04-14,2019-04-20,ORPEN GATE,12:00,12:59
13:00 - 13:59,,382,363,19,2019-04-14,2019-04-20,ORPEN GATE,13:00,13:59
14:00 - 14:59,,374,283,91,2019-04-14,2019-04-20,ORPEN GATE,14:00,14:59
15:00 - 15:59,,719,542,177,2019-04-14,2019-04-20,ORPEN GATE,15:00,15:59
16:00 - 16:59,,509,276,233,2019-04-14,2019-04-20,ORPEN GATE,16:00,16:59
17:00 - 17:59,,223,179,44,2019-04-14,2019-04-20,ORPEN GATE,17:00,17:59
18:00 - 18:59,,15,1,14,2019-04-14,2019-04-20,ORPEN GATE,18:00,18:59
06:00 - 06:59,,61,52,9,2019-04-14,2019-04-20,PAFURI GATE,06:00,06:59
07:00 - 07:59,,36,30,6,2019-04-14,2019-04-20,PAFURI GATE,07:00,07:59
08:00 - 08:59,,74,40,34,2019-04-14,2019-04-20,PAFURI GATE,08:00,08:59
09:00 - 09:59,,53,44,9,2019-04-14,2019-04-20,PAFURI GATE,09:00,09:59
10:00 - 10:59,,26,12,14,2019-04-14,2019-04-20,PAFURI GATE,10:00,10:59
11:00 - 11:59,,37,31,6,2019-04-14,2019-04-20,PAFURI GATE,11:00,11:59
12:00 - 12:59,,24,24,0,2019-04-14,2019-04-20,PAFURI GATE,12:00,12:59
13:00 - 13:59,,46,33,13,2019-04-14,2019-04-20,PAFURI GATE,13:00,13:59
14:00 - 14:59,,33,28,5,2019-04-14,2019-04-20,PAFURI GATE,14:00,14:59
15:00 - 15:59,,35,33,2,2019-04-14,2019-04-20,PAFURI GATE,15:00,15:59
16:00 - 16:59,,8,8,0,2019-04-14,2019-04-20,PAFURI GATE,16:00,16:59
17:00 - 17:59,,1,1,0,2019-04-14,2019-04-20,PAFURI GATE,17:00,17:59
05:00 - 05:59,,504,474,30,2019-04-14,2019-04-20,PHABENI GATE,05:00,05:59
06:00 - 06:59,,1340,1140,200,2019-04-14,2019-04-20,PHABENI GATE,06:00,06:59
07:00 - 07:59,,679,544,135,2019-04-14,2019-04-20,PHABENI GATE,07:00,07:59
08:00 - 08:59,,626,502,124,2019-04-14,2019-04-20,PHABENI GATE,08:00,08:59
09:00 - 09:59,,586,486,100,2019-04-14,2019-04-20,PHABENI GATE,09:00,09:59
10:00 - 10:59,,573,495,78,2019-04-14,2019-04-20,PHABENI GATE,10:00,10:59
11:00 - 11:59,,427,340,87,2019-04-14,2019-04-20,PHABENI GATE,11:00,11:59
12:00 - 12:59,,393,339,54,2019-04-14,2019-04-20,PHABENI GATE,12:00,12:59
13:00 - 13:59,,337,313,24,2019-04-14,2019-04-20,PHABENI GATE,13:00,13:59
14:00 - 14:59,,206,181,25,2019-04-14,2019-04-20,PHABENI GATE,14:00,14:59
15:00 - 15:59,,157,129,28,2019-04-14,2019-04-20,PHABENI GATE,15:00,15:59
16:00 - 16:59,,166,46,120,2019-04-14,2019-04-20,PHABENI GATE,16:00,16:59
17:00 - 17:59,,56,41,15,2019-04-14,2019-04-20,PHABENI GATE,17:00,17:59
05:00 - 05:59,,191,167,24,2019-04-14,2019-04-20,PHALABORWA GATE,05:00,05:59
06:00 - 06:59,,718,528,190,2019-04-14,2019-04-20,PHALABORWA GATE,06:00,06:59
07:00 - 07:59,,463,349,114,2019-04-14,2019-04-20,PHALABORWA GATE,07:00,07:59
08:00 - 08:59,,412,293,119,2019-04-14,2019-04-20,PHALABORWA GATE,08:00,08:59
09:00 - 09:59,,461,293,168,2019-04-14,2019-04-20,PHALABORWA GATE,09:00,09:59
10:00 - 10:59,,412,284,128,2019-04-14,2019-04-20,PHALABORWA GATE,10:00,10:59
11:00 - 11:59,,324,180,144,2019-04-14,2019-04-20,PHALABORWA GATE,11:00,11:59
12:00 - 12:59,,469,239,230,2019-04-14,2019-04-20,PHALABORWA GATE,12:00,12:59
13:00 - 13:59,,399,201,198,2019-04-14,2019-04-20,PHALABORWA GATE,13:00,13:59
14:00 - 14:59,,295,105,190,2019-04-14,2019-04-20,PHALABORWA GATE,14:00,14:59
15:00 - 15:59,,224,111,113,2019-04-14,2019-04-20,PHALABORWA GATE,15:00,15:59
16:00 - 16:59,,139,79,60,2019-04-14,2019-04-20,PHALABORWA GATE,16:00,16:59
17:00 - 17:59,,28,2,26,2019-04-14,2019-04-20,PHALABORWA GATE,17:00,17:59
05:00 - 05:59,,51,51,0,2019-04-14,2019-04-20,PUNDA MARIA GATE,05:00,05:59
06:00 - 06:59,,278,268,10,2019-04-14,2019-04-20,PUNDA MARIA GATE,06:00,06:59
07:00 - 07:59,,243,207,36,2019-04-14,2019-04-20,PUNDA MARIA GATE,07:00,07:59
08:00 - 08:59,,284,259,25,2019-04-14,2019-04-20,PUNDA MARIA GATE,08:00,08:59
09:00 - 09:59,,204,183,21,2019-04-14,2019-04-20,PUNDA MARIA GATE,09:00,09:59
10:00 - 10:59,,282,226,56,2019-04-14,2019-04-20,PUNDA MARIA GATE,10:00,10:59
11:00 - 11:59,,269,233,36,2019-04-14,2019-04-20,PUNDA MARIA GATE,11:00,11:59
12:00 - 12:59,,255,195,60,2019-04-14,2019-04-20,PUNDA MARIA GATE,12:00,12:59
13:00 - 13:59,,279,231,48,2019-04-14,2019-04-20,PUNDA MARIA GATE,13:00,13:59
14:00 - 14:59,,122,87,35,2019-04-14,2019-04-20,PUNDA MARIA GATE,14:00,14:59
15:00 - 15:59,,51,27,24,2019-04-14,2019-04-20,PUNDA MARIA GATE,15:00,15:59
16:00 - 16:59,,95,26,69,2019-04-14,2019-04-20,PUNDA MARIA GATE,16:00,16:59
17:00 - 17:59,,11,11,0,2019-04-14,2019-04-20,PUNDA MARIA GATE,17:00,17:59
