hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
05:00 - 05:59,,729,648,81,2019-02-03,2019-02-09,CROCODILE BRIDGE GATE,05:00,05:59
06:00 - 06:59,,584,549,35,2019-02-03,2019-02-09,CROCODILE BRIDGE GATE,06:00,06:59
07:00 - 07:59,,463,422,41,2019-02-03,2019-02-09,CROCODILE BRIDGE GATE,07:00,07:59
08:00 - 08:59,,523,485,38,2019-02-03,2019-02-09,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,508,426,82,2019-02-03,2019-02-09,CROCODILE BRIDGE GATE,09:00,09:59
10:00 - 10:59,,333,272,61,2019-02-03,2019-02-09,CROCODILE BRIDGE GATE,10:00,10:59
11:00 - 11:59,,279,217,62,2019-02-03,2019-02-09,CROCODILE BRIDGE GATE,11:00,11:59
12:00 - 12:59,,177,106,71,2019-02-03,2019-02-09,CROCODILE BRIDGE GATE,12:00,12:59
13:00 - 13:59,,203,106,97,2019-02-03,2019-02-09,CROCODILE BRIDGE GATE,13:00,13:59
14:00 - 14:59,,159,88,71,2019-02-03,2019-02-09,CROCODILE BRIDGE GATE,14:00,14:59
15:00 - 15:59,,170,118,52,2019-02-03,2019-02-09,CROCODILE BRIDGE GATE,15:00,15:59
16:00 - 16:59,,104,58,46,2019-02-03,2019-02-09,CROCODILE BRIDGE GATE,16:00,16:59
17:00 - 17:59,,40,9,31,2019-02-03,2019-02-09,CROCODILE BRIDGE GATE,17:00,17:59
18:00 - 18:59,,5,0,5,2019-02-03,2019-02-09,CROCODILE BRIDGE GATE,18:00,18:59
19:00 - 19:59,,2,0,2,2019-02-03,2019-02-09,CROCODILE BRIDGE GATE,19:00,19:59
08:00 - 08:59,,2,2,0,2019-02-03,2019-02-09,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,18,18,0,2019-02-03,2019-02-09,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,10,10,0,2019-02-03,2019-02-09,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,1,1,0,2019-02-03,2019-02-09,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,27,19,8,2019-02-03,2019-02-09,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,13,13,0,2019-02-03,2019-02-09,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,4,4,0,2019-02-03,2019-02-09,GIRIYONDO BORDER GATE,14:00,14:59
15:00 - 15:59,,2,0,2,2019-02-03,2019-02-09,GIRIYONDO BORDER GATE,15:00,15:59
05:00 - 05:59,,564,559,5,2019-02-03,2019-02-09,KRUGER GATE,05:00,05:59
06:00 - 06:59,,330,317,13,2019-02-03,2019-02-09,KRUGER GATE,06:00,06:59
07:00 - 07:59,,176,166,10,2019-02-03,2019-02-09,KRUGER GATE,07:00,07:59
08:00 - 08:59,,252,236,16,2019-02-03,2019-02-09,KRUGER GATE,08:00,08:59
09:00 - 09:59,,349,320,29,2019-02-03,2019-02-09,KRUGER GATE,09:00,09:59
10:00 - 10:59,,316,296,20,2019-02-03,2019-02-09,KRUGER GATE,10:00,10:59
11:00 - 11:59,,193,154,39,2019-02-03,2019-02-09,KRUGER GATE,11:00,11:59
12:00 - 12:59,,201,173,28,2019-02-03,2019-02-09,KRUGER GATE,12:00,12:59
13:00 - 13:59,,169,119,50,2019-02-03,2019-02-09,KRUGER GATE,13:00,13:59
14:00 - 14:59,,173,120,53,2019-02-03,2019-02-09,KRUGER GATE,14:00,14:59
15:00 - 15:59,,154,95,59,2019-02-03,2019-02-09,KRUGER GATE,15:00,15:59
16:00 - 16:59,,95,51,44,2019-02-03,2019-02-09,KRUGER GATE,16:00,16:59
17:00 - 17:59,,167,69,98,2019-02-03,2019-02-09,KRUGER GATE,17:00,17:59
18:00 - 18:59,,48,48,0,2019-02-03,2019-02-09,KRUGER GATE,18:00,18:59
05:00 - 05:59,,545,208,337,2019-02-03,2019-02-09,MALELANE GATE,05:00,05:59
06:00 - 06:59,,624,448,176,2019-02-03,2019-02-09,MALELANE GATE,06:00,06:59
07:00 - 07:59,,276,217,59,2019-02-03,2019-02-09,MALELANE GATE,07:00,07:59
08:00 - 08:59,,350,289,61,2019-02-03,2019-02-09,MALELANE GATE,08:00,08:59
09:00 - 09:59,,291,176,115,2019-02-03,2019-02-09,MALELANE GATE,09:00,09:59
10:00 - 10:59,,261,197,64,2019-02-03,2019-02-09,MALELANE GATE,10:00,10:59
11:00 - 11:59,,238,135,103,2019-02-03,2019-02-09,MALELANE GATE,11:00,11:59
12:00 - 12:59,,288,166,122,2019-02-03,2019-02-09,MALELANE GATE,12:00,12:59
13:00 - 13:59,,324,134,190,2019-02-03,2019-02-09,MALELANE GATE,13:00,13:59
14:00 - 14:59,,370,97,273,2019-02-03,2019-02-09,MALELANE GATE,14:00,14:59
15:00 - 15:59,,165,50,115,2019-02-03,2019-02-09,MALELANE GATE,15:00,15:59
16:00 - 16:59,,151,71,80,2019-02-03,2019-02-09,MALELANE GATE,16:00,16:59
17:00 - 17:59,,100,20,80,2019-02-03,2019-02-09,MALELANE GATE,17:00,17:59
18:00 - 18:59,,23,1,22,2019-02-03,2019-02-09,MALELANE GATE,18:00,18:59
05:00 - 05:59,,1331,1329,2,2019-02-03,2019-02-09,NUMBI GATE,05:00,05:59
06:00 - 06:59,,596,584,12,2019-02-03,2019-02-09,NUMBI GATE,06:00,06:59
07:00 - 07:59,,151,144,7,2019-02-03,2019-02-09,NUMBI GATE,07:00,07:59
08:00 - 08:59,,194,179,15,2019-02-03,2019-02-09,NUMBI GATE,08:00,08:59
09:00 - 09:59,,89,76,13,2019-02-03,2019-02-09,NUMBI GATE,09:00,09:59
10:00 - 10:59,,87,64,23,2019-02-03,2019-02-09,NUMBI GATE,10:00,10:59
11:00 - 11:59,,123,61,62,2019-02-03,2019-02-09,NUMBI GATE,11:00,11:59
12:00 - 12:59,,214,170,44,2019-02-03,2019-02-09,NUMBI GATE,12:00,12:59
13:00 - 13:59,,139,64,75,2019-02-03,2019-02-09,NUMBI GATE,13:00,13:59
14:00 - 14:59,,113,66,47,2019-02-03,2019-02-09,NUMBI GATE,14:00,14:59
15:00 - 15:59,,57,16,41,2019-02-03,2019-02-09,NUMBI GATE,15:00,15:59
16:00 - 16:59,,33,2,31,2019-02-03,2019-02-09,NUMBI GATE,16:00,16:59
17:00 - 17:59,,43,1,42,2019-02-03,2019-02-09,NUMBI GATE,17:00,17:59
18:00 - 18:59,,12,0,12,2019-02-03,2019-02-09,NUMBI GATE,18:00,18:59
05:00 - 05:59,,76,64,12,2019-02-03,2019-02-09,ORPEN GATE,05:00,05:59
06:00 - 06:59,,459,416,43,2019-02-03,2019-02-09,ORPEN GATE,06:00,06:59
07:00 - 07:59,,348,306,42,2019-02-03,2019-02-09,ORPEN GATE,07:00,07:59
08:00 - 08:59,,110,81,29,2019-02-03,2019-02-09,ORPEN GATE,08:00,08:59
09:00 - 09:59,,274,239,35,2019-02-03,2019-02-09,ORPEN GATE,09:00,09:59
10:00 - 10:59,,195,107,88,2019-02-03,2019-02-09,ORPEN GATE,10:00,10:59
11:00 - 11:59,,130,52,78,2019-02-03,2019-02-09,ORPEN GATE,11:00,11:59
12:00 - 12:59,,153,58,95,2019-02-03,2019-02-09,ORPEN GATE,12:00,12:59
13:00 - 13:59,,93,24,69,2019-02-03,2019-02-09,ORPEN GATE,13:00,13:59
14:00 - 14:59,,87,26,61,2019-02-03,2019-02-09,ORPEN GATE,14:00,14:59
15:00 - 15:59,,93,23,70,2019-02-03,2019-02-09,ORPEN GATE,15:00,15:59
16:00 - 16:59,,87,20,67,2019-02-03,2019-02-09,ORPEN GATE,16:00,16:59
17:00 - 17:59,,32,3,29,2019-02-03,2019-02-09,ORPEN GATE,17:00,17:59
18:00 - 18:59,,20,10,10,2019-02-03,2019-02-09,ORPEN GATE,18:00,18:59
05:00 - 05:59,,10,8,2,2019-02-03,2019-02-09,PAFURI GATE,05:00,05:59
06:00 - 06:59,,12,6,6,2019-02-03,2019-02-09,PAFURI GATE,06:00,06:59
07:00 - 07:59,,6,4,2,2019-02-03,2019-02-09,PAFURI GATE,07:00,07:59
08:00 - 08:59,,45,13,32,2019-02-03,2019-02-09,PAFURI GATE,08:00,08:59
09:00 - 09:59,,11,8,3,2019-02-03,2019-02-09,PAFURI GATE,09:00,09:59
10:00 - 10:59,,37,19,18,2019-02-03,2019-02-09,PAFURI GATE,10:00,10:59
11:00 - 11:59,,9,2,7,2019-02-03,2019-02-09,PAFURI GATE,11:00,11:59
12:00 - 12:59,,23,16,7,2019-02-03,2019-02-09,PAFURI GATE,12:00,12:59
13:00 - 13:59,,13,11,2,2019-02-03,2019-02-09,PAFURI GATE,13:00,13:59
14:00 - 14:59,,19,9,10,2019-02-03,2019-02-09,PAFURI GATE,14:00,14:59
15:00 - 15:59,,18,18,0,2019-02-03,2019-02-09,PAFURI GATE,15:00,15:59
16:00 - 16:59,,4,4,0,2019-02-03,2019-02-09,PAFURI GATE,16:00,16:59
05:00 - 05:59,,1401,1164,237,2019-02-03,2019-02-09,PHABENI GATE,05:00,05:59
06:00 - 06:59,,777,693,84,2019-02-03,2019-02-09,PHABENI GATE,06:00,06:59
07:00 - 07:59,,337,291,46,2019-02-03,2019-02-09,PHABENI GATE,07:00,07:59
08:00 - 08:59,,385,329,56,2019-02-03,2019-02-09,PHABENI GATE,08:00,08:59
09:00 - 09:59,,346,264,82,2019-02-03,2019-02-09,PHABENI GATE,09:00,09:59
10:00 - 10:59,,323,222,101,2019-02-03,2019-02-09,PHABENI GATE,10:00,10:59
11:00 - 11:59,,191,126,65,2019-02-03,2019-02-09,PHABENI GATE,11:00,11:59
12:00 - 12:59,,154,108,46,2019-02-03,2019-02-09,PHABENI GATE,12:00,12:59
13:00 - 13:59,,113,61,52,2019-02-03,2019-02-09,PHABENI GATE,13:00,13:59
14:00 - 14:59,,155,94,61,2019-02-03,2019-02-09,PHABENI GATE,14:00,14:59
15:00 - 15:59,,160,86,74,2019-02-03,2019-02-09,PHABENI GATE,15:00,15:59
16:00 - 16:59,,36,23,13,2019-02-03,2019-02-09,PHABENI GATE,16:00,16:59
17:00 - 17:59,,9,0,9,2019-02-03,2019-02-09,PHABENI GATE,17:00,17:59
05:00 - 05:59,,226,189,37,2019-02-03,2019-02-09,PHALABORWA GATE,05:00,05:59
06:00 - 06:59,,195,164,31,2019-02-03,2019-02-09,PHALABORWA GATE,06:00,06:59
07:00 - 07:59,,172,129,43,2019-02-03,2019-02-09,PHALABORWA GATE,07:00,07:59
08:00 - 08:59,,203,135,68,2019-02-03,2019-02-09,PHALABORWA GATE,08:00,08:59
09:00 - 09:59,,191,133,58,2019-02-03,2019-02-09,PHALABORWA GATE,09:00,09:59
10:00 - 10:59,,195,152,43,2019-02-03,2019-02-09,PHALABORWA GATE,10:00,10:59
11:00 - 11:59,,205,139,66,2019-02-03,2019-02-09,PHALABORWA GATE,11:00,11:59
12:00 - 12:59,,181,91,90,2019-02-03,2019-02-09,PHALABORWA GATE,12:00,12:59
13:00 - 13:59,,160,64,96,2019-02-03,2019-02-09,PHALABORWA GATE,13:00,13:59
14:00 - 14:59,,136,47,89,2019-02-03,2019-02-09,PHALABORWA GATE,14:00,14:59
15:00 - 15:59,,125,56,69,2019-02-03,2019-02-09,PHALABORWA GATE,15:00,15:59
16:00 - 16:59,,120,54,66,2019-02-03,2019-02-09,PHALABORWA GATE,16:00,16:59
17:00 - 17:59,,32,17,15,2019-02-03,2019-02-09,PHALABORWA GATE,17:00,17:59
05:00 - 05:59,,25,23,2,2019-02-03,2019-02-09,PUNDA MARIA GATE,05:00,05:59
06:00 - 06:59,,123,123,0,2019-02-03,2019-02-09,PUNDA MARIA GATE,06:00,06:59
07:00 - 07:59,,93,86,7,2019-02-03,2019-02-09,PUNDA MARIA GATE,07:00,07:59
08:00 - 08:59,,71,64,7,2019-02-03,2019-02-09,PUNDA MARIA GATE,08:00,08:59
09:00 - 09:59,,88,75,13,2019-02-03,2019-02-09,PUNDA MARIA GATE,09:00,09:59
10:00 - 10:59,,75,68,7,2019-02-03,2019-02-09,PUNDA MARIA GATE,10:00,10:59
11:00 - 11:59,,82,71,11,2019-02-03,2019-02-09,PUNDA MARIA GATE,11:00,11:59
12:00 - 12:59,,88,75,13,2019-02-03,2019-02-09,PUNDA MARIA GATE,12:00,12:59
13:00 - 13:59,,75,51,24,2019-02-03,2019-02-09,PUNDA MARIA GATE,13:00,13:59
14:00 - 14:59,,55,47,8,2019-02-03,2019-02-09,PUNDA MARIA GATE,14:00,14:59
15:00 - 15:59,,53,31,22,2019-02-03,2019-02-09,PUNDA MARIA GATE,15:00,15:59
16:00 - 16:59,,33,19,14,2019-02-03,2019-02-09,PUNDA MARIA GATE,16:00,16:59
17:00 - 17:59,,16,6,10,2019-02-03,2019-02-09,PUNDA MARIA GATE,17:00,17:59
18:00 - 18:59,,2,0,2,2019-02-03,2019-02-09,PUNDA MARIA GATE,18:00,18:59
