hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
05:00 - 05:59,,1227,1100,127,2019-10-13,2019-10-19,CROCODILE BRIDGE GATE,05:00,05:59
06:00 - 06:59,,1125,1071,54,2019-10-13,2019-10-19,CROCODILE BRIDGE GATE,06:00,06:59
07:00 - 07:59,,812,737,75,2019-10-13,2019-10-19,CROCODILE BRIDGE GATE,07:00,07:59
08:00 - 08:59,,670,599,71,2019-10-13,2019-10-19,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,631,555,76,2019-10-13,2019-10-19,CROCODILE BRIDGE GATE,09:00,09:59
10:00 - 10:59,,438,379,59,2019-10-13,2019-10-19,CROCODILE BRIDGE GATE,10:00,10:59
11:00 - 11:59,,324,250,74,2019-10-13,2019-10-19,CROCODILE BRIDGE GATE,11:00,11:59
12:00 - 12:59,,272,180,92,2019-10-13,2019-10-19,CROCODILE BRIDGE GATE,12:00,12:59
13:00 - 13:59,,186,117,69,2019-10-13,2019-10-19,CROCODILE BRIDGE GATE,13:00,13:59
14:00 - 14:59,,176,97,79,2019-10-13,2019-10-19,CROCODILE BRIDGE GATE,14:00,14:59
15:00 - 15:59,,160,99,61,2019-10-13,2019-10-19,CROCODILE BRIDGE GATE,15:00,15:59
16:00 - 16:59,,146,58,88,2019-10-13,2019-10-19,CROCODILE BRIDGE GATE,16:00,16:59
17:00 - 17:59,,17,1,16,2019-10-13,2019-10-19,CROCODILE BRIDGE GATE,17:00,17:59
18:00 - 18:59,,6,0,6,2019-10-13,2019-10-19,CROCODILE BRIDGE GATE,18:00,18:59
08:00 - 08:59,,5,5,0,2019-10-13,2019-10-19,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,17,17,0,2019-10-13,2019-10-19,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,18,9,9,2019-10-13,2019-10-19,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,17,13,4,2019-10-13,2019-10-19,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,9,9,0,2019-10-13,2019-10-19,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,22,9,13,2019-10-13,2019-10-19,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,18,13,5,2019-10-13,2019-10-19,GIRIYONDO BORDER GATE,14:00,14:59
15:00 - 15:59,,2,2,0,2019-10-13,2019-10-19,GIRIYONDO BORDER GATE,15:00,15:59
05:00 - 05:59,,714,699,15,2019-10-13,2019-10-19,KRUGER GATE,05:00,05:59
06:00 - 06:59,,643,621,22,2019-10-13,2019-10-19,KRUGER GATE,06:00,06:59
07:00 - 07:59,,323,300,23,2019-10-13,2019-10-19,KRUGER GATE,07:00,07:59
08:00 - 08:59,,473,447,26,2019-10-13,2019-10-19,KRUGER GATE,08:00,08:59
09:00 - 09:59,,567,529,38,2019-10-13,2019-10-19,KRUGER GATE,09:00,09:59
10:00 - 10:59,,474,424,50,2019-10-13,2019-10-19,KRUGER GATE,10:00,10:59
11:00 - 11:59,,341,273,68,2019-10-13,2019-10-19,KRUGER GATE,11:00,11:59
