hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
09:00 - 09:59,,986,904,82,2019-12-22,2019-12-28,CROCODILE BRIDGE GATE,09:00,09:59
10:00 - 10:59,,738,610,128,2019-12-22,2019-12-28,CROCODILE BRIDGE GATE,10:00,10:59
11:00 - 11:59,,361,276,85,2019-12-22,2019-12-28,CROCODILE BRIDGE GATE,11:00,11:59
05:00 - 05:59,,1597,1384,213,2019-12-22,2019-12-28,CROCODILE BRIDGE GATE,05:00,05:59
06:00 - 06:59,,2611,2220,391,2019-12-22,2019-12-28,CROCODILE BRIDGE GATE,06:00,06:59
07:00 - 07:59,,2021,1803,218,2019-12-22,2019-12-28,CROCODILE BRIDGE GATE,07:00,07:59
08:00 - 08:59,,1171,1068,103,2019-12-22,2019-12-28,CROCODILE BRIDGE GATE,08:00,08:59
12:00 - 12:59,,276,196,80,2019-12-22,2019-12-28,CROCODILE BRIDGE GATE,12:00,12:59
13:00 - 13:59,,250,176,74,2019-12-22,2019-12-28,CROCODILE BRIDGE GATE,13:00,13:59
14:00 - 14:59,,401,335,66,2019-12-22,2019-12-28,CROCODILE BRIDGE GATE,14:00,14:59
15:00 - 15:59,,581,516,65,2019-12-22,2019-12-28,CROCODILE BRIDGE GATE,15:00,15:59
16:00 - 16:59,,275,205,70,2019-12-22,2019-12-28,CROCODILE BRIDGE GATE,16:00,16:59
17:00 - 17:59,,47,29,18,2019-12-22,2019-12-28,CROCODILE BRIDGE GATE,17:00,17:59
18:00 - 18:59,,18,0,18,2019-12-22,2019-12-28,CROCODILE BRIDGE GATE,18:00,18:59
08:00 - 08:59,,61,55,6,2019-12-22,2019-12-28,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,29,27,2,2019-12-22,2019-12-28,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,71,54,17,2019-12-22,2019-12-28,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,67,37,30,2019-12-22,2019-12-28,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,52,46,6,2019-12-22,2019-12-28,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,46,29,17,2019-12-22,2019-12-28,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,32,24,8,2019-12-22,2019-12-28,GIRIYONDO BORDER GATE,14:00,14:59
15:00 - 15:59,,6,1,5,2019-12-22,2019-12-28,GIRIYONDO BORDER GATE,15:00,15:59
05:00 - 05:59,,777,750,27,2019-12-22,2019-12-28,KRUGER GATE,05:00,05:59
06:00 - 06:59,,1065,1028,37,2019-12-22,2019-12-28,KRUGER GATE,06:00,06:59
07:00 - 07:59,,605,590,15,2019-12-22,2019-12-28,KRUGER GATE,07:00,07:59
08:00 - 08:59,,584,547,37,2019-12-22,2019-12-28,KRUGER GATE,08:00,08:59
09:00 - 09:59,,759,694,65,2019-12-22,2019-12-28,KRUGER GATE,09:00,09:59
10:00 - 10:59,,683,612,71,2019-12-22,2019-12-28,KRUGER GATE,10:00,10:59
11:00 - 11:59,,705,645,60,2019-12-22,2019-12-28,KRUGER GATE,11:00,11:59
12:00 - 12:59,,621,538,83,2019-12-22,2019-12-28,KRUGER GATE,12:00,12:59
13:00 - 13:59,,525,423,102,2019-12-22,2019-12-28,KRUGER GATE,13:00,13:59
14:00 - 14:59,,360,259,101,2019-12-22,2019-12-28,KRUGER GATE,14:00,14:59
15:00 - 15:59,,283,202,81,2019-12-22,2019-12-28,KRUGER GATE,15:00,15:59
16:00 - 16:59,,197,135,62,2019-12-22,2019-12-28,KRUGER GATE,16:00,16:59
17:00 - 17:59,,124,75,49,2019-12-22,2019-12-28,KRUGER GATE,17:00,17:59
18:00 - 18:59,,38,20,18,2019-12-22,2019-12-28,KRUGER GATE,18:00,18:59
05:00 - 05:59,,972,628,344,2019-12-22,2019-12-28,MALELANE GATE,05:00,05:59
06:00 - 06:59,,1331,926,405,2019-12-22,2019-12-28,MALELANE GATE,06:00,06:59
07:00 - 07:59,,1196,998,198,2019-12-22,2019-12-28,MALELANE GATE,07:00,07:59
08:00 - 08:59,,1001,815,186,2019-12-22,2019-12-28,MALELANE GATE,08:00,08:59
09:00 - 09:59,,755,569,186,2019-12-22,2019-12-28,MALELANE GATE,09:00,09:59
10:00 - 10:59,,657,481,176,2019-12-22,2019-12-28,MALELANE GATE,10:00,10:59
11:00 - 11:59,,613,486,127,2019-12-22,2019-12-28,MALELANE GATE,11:00,11:59
12:00 - 12:59,,422,262,160,2019-12-22,2019-12-28,MALELANE GATE,12:00,12:59
13:00 - 13:59,,376,132,244,2019-12-22,2019-12-28,MALELANE GATE,13:00,13:59
14:00 - 14:59,,246,75,171,2019-12-22,2019-12-28,MALELANE GATE,14:00,14:59
15:00 - 15:59,,222,105,117,2019-12-22,2019-12-28,MALELANE GATE,15:00,15:59
16:00 - 16:59,,127,44,83,2019-12-22,2019-12-28,MALELANE GATE,16:00,16:59
17:00 - 17:59,,83,17,66,2019-12-22,2019-12-28,MALELANE GATE,17:00,17:59
18:00 - 18:59,,2,0,2,2019-12-22,2019-12-28,MALELANE GATE,18:00,18:59
05:00 - 05:59,,979,972,7,2019-12-22,2019-12-28,NUMBI GATE,05:00,05:59
06:00 - 06:59,,805,779,26,2019-12-22,2019-12-28,NUMBI GATE,06:00,06:59
07:00 - 07:59,,335,298,37,2019-12-22,2019-12-28,NUMBI GATE,07:00,07:59
08:00 - 08:59,,236,212,24,2019-12-22,2019-12-28,NUMBI GATE,08:00,08:59
09:00 - 09:59,,309,290,19,2019-12-22,2019-12-28,NUMBI GATE,09:00,09:59
10:00 - 10:59,,354,324,30,2019-12-22,2019-12-28,NUMBI GATE,10:00,10:59
11:00 - 11:59,,319,265,54,2019-12-22,2019-12-28,NUMBI GATE,11:00,11:59
12:00 - 12:59,,204,139,65,2019-12-22,2019-12-28,NUMBI GATE,12:00,12:59
13:00 - 13:59,,185,119,66,2019-12-22,2019-12-28,NUMBI GATE,13:00,13:59
14:00 - 14:59,,241,181,60,2019-12-22,2019-12-28,NUMBI GATE,14:00,14:59
15:00 - 15:59,,58,36,22,2019-12-22,2019-12-28,NUMBI GATE,15:00,15:59
16:00 - 16:59,,56,12,44,2019-12-22,2019-12-28,NUMBI GATE,16:00,16:59
17:00 - 17:59,,42,5,37,2019-12-22,2019-12-28,NUMBI GATE,17:00,17:59
18:00 - 18:59,,10,5,5,2019-12-22,2019-12-28,NUMBI GATE,18:00,18:59
05:00 - 05:59,,283,233,50,2019-12-22,2019-12-28,ORPEN GATE,05:00,05:59
06:00 - 06:59,,1143,1009,134,2019-12-22,2019-12-28,ORPEN GATE,06:00,06:59
07:00 - 07:59,,888,753,135,2019-12-22,2019-12-28,ORPEN GATE,07:00,07:59
08:00 - 08:59,,481,389,92,2019-12-22,2019-12-28,ORPEN GATE,08:00,08:59
09:00 - 09:59,,592,452,140,2019-12-22,2019-12-28,ORPEN GATE,09:00,09:59
10:00 - 10:59,,427,334,93,2019-12-22,2019-12-28,ORPEN GATE,10:00,10:59
11:00 - 11:59,,397,265,132,2019-12-22,2019-12-28,ORPEN GATE,11:00,11:59
12:00 - 12:59,,431,263,168,2019-12-22,2019-12-28,ORPEN GATE,12:00,12:59
13:00 - 13:59,,251,182,69,2019-12-22,2019-12-28,ORPEN GATE,13:00,13:59
14:00 - 14:59,,169,99,70,2019-12-22,2019-12-28,ORPEN GATE,14:00,14:59
15:00 - 15:59,,151,91,60,2019-12-22,2019-12-28,ORPEN GATE,15:00,15:59
16:00 - 16:59,,146,46,100,2019-12-22,2019-12-28,ORPEN GATE,16:00,16:59
17:00 - 17:59,,54,6,48,2019-12-22,2019-12-28,ORPEN GATE,17:00,17:59
05:00 - 05:59,,53,41,12,2019-12-22,2019-12-28,PAFURI GATE,05:00,05:59
06:00 - 06:59,,84,67,17,2019-12-22,2019-12-28,PAFURI GATE,06:00,06:59
07:00 - 07:59,,61,44,17,2019-12-22,2019-12-28,PAFURI GATE,07:00,07:59
08:00 - 08:59,,146,124,22,2019-12-22,2019-12-28,PAFURI GATE,08:00,08:59
09:00 - 09:59,,142,130,12,2019-12-22,2019-12-28,PAFURI GATE,09:00,09:59
10:00 - 10:59,,116,99,17,2019-12-22,2019-12-28,PAFURI GATE,10:00,10:59
11:00 - 11:59,,114,97,17,2019-12-22,2019-12-28,PAFURI GATE,11:00,11:59
12:00 - 12:59,,78,68,10,2019-12-22,2019-12-28,PAFURI GATE,12:00,12:59
13:00 - 13:59,,64,54,10,2019-12-22,2019-12-28,PAFURI GATE,13:00,13:59
14:00 - 14:59,,62,52,10,2019-12-22,2019-12-28,PAFURI GATE,14:00,14:59
15:00 - 15:59,,38,36,2,2019-12-22,2019-12-28,PAFURI GATE,15:00,15:59
16:00 - 16:59,,84,82,2,2019-12-22,2019-12-28,PAFURI GATE,16:00,16:59
17:00 - 17:59,,5,5,0,2019-12-22,2019-12-28,PAFURI GATE,17:00,17:59
04:00 - 04:59,,4,4,0,2019-12-22,2019-12-28,PHABENI GATE,04:00,04:59
05:00 - 05:59,,1156,1058,98,2019-12-22,2019-12-28,PHABENI GATE,05:00,05:59
06:00 - 06:59,,2154,2014,140,2019-12-22,2019-12-28,PHABENI GATE,06:00,06:59
07:00 - 07:59,,1058,908,150,2019-12-22,2019-12-28,PHABENI GATE,07:00,07:59
08:00 - 08:59,,793,693,100,2019-12-22,2019-12-28,PHABENI GATE,08:00,08:59
09:00 - 09:59,,792,702,90,2019-12-22,2019-12-28,PHABENI GATE,09:00,09:59
10:00 - 10:59,,779,681,98,2019-12-22,2019-12-28,PHABENI GATE,10:00,10:59
11:00 - 11:59,,685,580,105,2019-12-22,2019-12-28,PHABENI GATE,11:00,11:59
12:00 - 12:59,,532,475,57,2019-12-22,2019-12-28,PHABENI GATE,12:00,12:59
13:00 - 13:59,,364,305,59,2019-12-22,2019-12-28,PHABENI GATE,13:00,13:59
14:00 - 14:59,,300,218,82,2019-12-22,2019-12-28,PHABENI GATE,14:00,14:59
15:00 - 15:59,,181,133,48,2019-12-22,2019-12-28,PHABENI GATE,15:00,15:59
16:00 - 16:59,,79,64,15,2019-12-22,2019-12-28,PHABENI GATE,16:00,16:59
17:00 - 17:59,,17,11,6,2019-12-22,2019-12-28,PHABENI GATE,17:00,17:59
18:00 - 18:59,,3,3,0,2019-12-22,2019-12-28,PHABENI GATE,18:00,18:59
05:00 - 05:59,,738,671,67,2019-12-22,2019-12-28,PHALABORWA GATE,05:00,05:59
06:00 - 06:59,,1206,1048,158,2019-12-22,2019-12-28,PHALABORWA GATE,06:00,06:59
07:00 - 07:59,,772,695,77,2019-12-22,2019-12-28,PHALABORWA GATE,07:00,07:59
08:00 - 08:59,,854,675,179,2019-12-22,2019-12-28,PHALABORWA GATE,08:00,08:59
09:00 - 09:59,,885,704,181,2019-12-22,2019-12-28,PHALABORWA GATE,09:00,09:59
10:00 - 10:59,,733,521,212,2019-12-22,2019-12-28,PHALABORWA GATE,10:00,10:59
11:00 - 11:59,,661,463,198,2019-12-22,2019-12-28,PHALABORWA GATE,11:00,11:59
12:00 - 12:59,,718,412,306,2019-12-22,2019-12-28,PHALABORWA GATE,12:00,12:59
13:00 - 13:59,,531,244,287,2019-12-22,2019-12-28,PHALABORWA GATE,13:00,13:59
