hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
07:00 - 07:59,,1191,1087,104,2018-09-16,2018-09-22,CROCODILE BRIDGE GATE,07:00,07:59
11:00 - 11:59,,415,369,46,2018-09-16,2018-09-22,CROCODILE BRIDGE GATE,11:00,11:59
05:00 - 05:59,,315,282,33,2018-09-16,2018-09-22,CROCODILE BRIDGE GATE,05:00,05:59
06:00 - 06:59,,1742,1541,201,2018-09-16,2018-09-22,CROCODILE BRIDGE GATE,06:00,06:59
08:00 - 08:59,,908,790,118,2018-09-16,2018-09-22,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,723,621,102,2018-09-16,2018-09-22,CROCODILE BRIDGE GATE,09:00,09:59
10:00 - 10:59,,490,424,66,2018-09-16,2018-09-22,CROCODILE BRIDGE GATE,10:00,10:59
12:00 - 12:59,,264,169,95,2018-09-16,2018-09-22,CROCODILE BRIDGE GATE,12:00,12:59
13:00 - 13:59,,344,252,92,2018-09-16,2018-09-22,CROCODILE BRIDGE GATE,13:00,13:59
14:00 - 14:59,,298,253,45,2018-09-16,2018-09-22,CROCODILE BRIDGE GATE,14:00,14:59
15:00 - 15:59,,386,329,57,2018-09-16,2018-09-22,CROCODILE BRIDGE GATE,15:00,15:59
16:00 - 16:59,,414,365,49,2018-09-16,2018-09-22,CROCODILE BRIDGE GATE,16:00,16:59
17:00 - 17:59,,275,245,30,2018-09-16,2018-09-22,CROCODILE BRIDGE GATE,17:00,17:59
18:00 - 18:59,,4,1,3,2018-09-16,2018-09-22,CROCODILE BRIDGE GATE,18:00,18:59
08:00 - 08:59,,8,8,0,2018-09-16,2018-09-22,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,7,7,0,2018-09-16,2018-09-22,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,14,12,2,2018-09-16,2018-09-22,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,5,5,0,2018-09-16,2018-09-22,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,16,4,12,2018-09-16,2018-09-22,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,43,43,0,2018-09-16,2018-09-22,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,16,16,0,2018-09-16,2018-09-22,GIRIYONDO BORDER GATE,14:00,14:59
15:00 - 15:59,,2,0,2,2018-09-16,2018-09-22,GIRIYONDO BORDER GATE,15:00,15:59
05:00 - 05:59,,213,213,0,2018-09-16,2018-09-22,KRUGER GATE,05:00,05:59
06:00 - 06:59,,916,884,32,2018-09-16,2018-09-22,KRUGER GATE,06:00,06:59
07:00 - 07:59,,601,579,22,2018-09-16,2018-09-22,KRUGER GATE,07:00,07:59
08:00 - 08:59,,532,480,52,2018-09-16,2018-09-22,KRUGER GATE,08:00,08:59
09:00 - 09:59,,697,638,59,2018-09-16,2018-09-22,KRUGER GATE,09:00,09:59
10:00 - 10:59,,841,780,61,2018-09-16,2018-09-22,KRUGER GATE,10:00,10:59
11:00 - 11:59,,672,619,53,2018-09-16,2018-09-22,KRUGER GATE,11:00,11:59
12:00 - 12:59,,436,367,69,2018-09-16,2018-09-22,KRUGER GATE,12:00,12:59
13:00 - 13:59,,384,264,120,2018-09-16,2018-09-22,KRUGER GATE,13:00,13:59
14:00 - 14:59,,258,173,85,2018-09-16,2018-09-22,KRUGER GATE,14:00,14:59
15:00 - 15:59,,183,119,64,2018-09-16,2018-09-22,KRUGER GATE,15:00,15:59
16:00 - 16:59,,175,63,112,2018-09-16,2018-09-22,KRUGER GATE,16:00,16:59
17:00 - 17:59,,78,47,31,2018-09-16,2018-09-22,KRUGER GATE,17:00,17:59
05:00 - 05:59,,420,96,324,2018-09-16,2018-09-22,MALELANE GATE,05:00,05:59
06:00 - 06:59,,926,564,362,2018-09-16,2018-09-22,MALELANE GATE,06:00,06:59
07:00 - 07:59,,503,320,183,2018-09-16,2018-09-22,MALELANE GATE,07:00,07:59
08:00 - 08:59,,586,372,214,2018-09-16,2018-09-22,MALELANE GATE,08:00,08:59
09:00 - 09:59,,1232,1018,214,2018-09-16,2018-09-22,MALELANE GATE,09:00,09:59
10:00 - 10:59,,1309,1095,214,2018-09-16,2018-09-22,MALELANE GATE,10:00,10:59
11:00 - 11:59,,462,242,220,2018-09-16,2018-09-22,MALELANE GATE,11:00,11:59
12:00 - 12:59,,468,233,235,2018-09-16,2018-09-22,MALELANE GATE,12:00,12:59
13:00 - 13:59,,370,177,193,2018-09-16,2018-09-22,MALELANE GATE,13:00,13:59
14:00 - 14:59,,274,113,161,2018-09-16,2018-09-22,MALELANE GATE,14:00,14:59
15:00 - 15:59,,206,62,144,2018-09-16,2018-09-22,MALELANE GATE,15:00,15:59
16:00 - 16:59,,182,37,145,2018-09-16,2018-09-22,MALELANE GATE,16:00,16:59
17:00 - 17:59,,85,21,64,2018-09-16,2018-09-22,MALELANE GATE,17:00,17:59
05:00 - 05:59,,987,987,0,2018-09-16,2018-09-22,NUMBI GATE,05:00,05:59
06:00 - 06:59,,1306,1281,25,2018-09-16,2018-09-22,NUMBI GATE,06:00,06:59
07:00 - 07:59,,272,246,26,2018-09-16,2018-09-22,NUMBI GATE,07:00,07:59
08:00 - 08:59,,407,367,40,2018-09-16,2018-09-22,NUMBI GATE,08:00,08:59
09:00 - 09:59,,239,192,47,2018-09-16,2018-09-22,NUMBI GATE,09:00,09:59
10:00 - 10:59,,388,333,55,2018-09-16,2018-09-22,NUMBI GATE,10:00,10:59
11:00 - 11:59,,432,368,64,2018-09-16,2018-09-22,NUMBI GATE,11:00,11:59
12:00 - 12:59,,172,136,36,2018-09-16,2018-09-22,NUMBI GATE,12:00,12:59
13:00 - 13:59,,277,157,120,2018-09-16,2018-09-22,NUMBI GATE,13:00,13:59
14:00 - 14:59,,278,180,98,2018-09-16,2018-09-22,NUMBI GATE,14:00,14:59
15:00 - 15:59,,110,49,61,2018-09-16,2018-09-22,NUMBI GATE,15:00,15:59
16:00 - 16:59,,61,26,35,2018-09-16,2018-09-22,NUMBI GATE,16:00,16:59
17:00 - 17:59,,57,7,50,2018-09-16,2018-09-22,NUMBI GATE,17:00,17:59
06:00 - 06:59,,746,656,90,2018-09-16,2018-09-22,ORPEN GATE,06:00,06:59
07:00 - 07:59,,649,589,60,2018-09-16,2018-09-22,ORPEN GATE,07:00,07:59
08:00 - 08:59,,380,276,104,2018-09-16,2018-09-22,ORPEN GATE,08:00,08:59
09:00 - 09:59,,631,538,93,2018-09-16,2018-09-22,ORPEN GATE,09:00,09:59
10:00 - 10:59,,774,642,132,2018-09-16,2018-09-22,ORPEN GATE,10:00,10:59
11:00 - 11:59,,353,232,121,2018-09-16,2018-09-22,ORPEN GATE,11:00,11:59
12:00 - 12:59,,218,81,137,2018-09-16,2018-09-22,ORPEN GATE,12:00,12:59
13:00 - 13:59,,186,57,129,2018-09-16,2018-09-22,ORPEN GATE,13:00,13:59
14:00 - 14:59,,204,50,154,2018-09-16,2018-09-22,ORPEN GATE,14:00,14:59
15:00 - 15:59,,96,22,74,2018-09-16,2018-09-22,ORPEN GATE,15:00,15:59
16:00 - 16:59,,74,10,64,2018-09-16,2018-09-22,ORPEN GATE,16:00,16:59
17:00 - 17:59,,31,4,27,2018-09-16,2018-09-22,ORPEN GATE,17:00,17:59
18:00 - 18:59,,4,0,4,2018-09-16,2018-09-22,ORPEN GATE,18:00,18:59
06:00 - 06:59,,14,14,0,2018-09-16,2018-09-22,PAFURI GATE,06:00,06:59
07:00 - 07:59,,25,19,6,2018-09-16,2018-09-22,PAFURI GATE,07:00,07:59
08:00 - 08:59,,45,6,39,2018-09-16,2018-09-22,PAFURI GATE,08:00,08:59
09:00 - 09:59,,21,15,6,2018-09-16,2018-09-22,PAFURI GATE,09:00,09:59
10:00 - 10:59,,39,27,12,2018-09-16,2018-09-22,PAFURI GATE,10:00,10:59
11:00 - 11:59,,14,10,4,2018-09-16,2018-09-22,PAFURI GATE,11:00,11:59
12:00 - 12:59,,26,16,10,2018-09-16,2018-09-22,PAFURI GATE,12:00,12:59
13:00 - 13:59,,34,24,10,2018-09-16,2018-09-22,PAFURI GATE,13:00,13:59
14:00 - 14:59,,31,25,6,2018-09-16,2018-09-22,PAFURI GATE,14:00,14:59
15:00 - 15:59,,2,2,0,2018-09-16,2018-09-22,PAFURI GATE,15:00,15:59
17:00 - 17:59,,9,9,0,2018-09-16,2018-09-22,PAFURI GATE,17:00,17:59
05:00 - 05:59,,718,718,0,2018-09-16,2018-09-22,PHABENI GATE,05:00,05:59
06:00 - 06:59,,2011,1936,75,2018-09-16,2018-09-22,PHABENI GATE,06:00,06:59
07:00 - 07:59,,918,829,89,2018-09-16,2018-09-22,PHABENI GATE,07:00,07:59
08:00 - 08:59,,740,644,96,2018-09-16,2018-09-22,PHABENI GATE,08:00,08:59
09:00 - 09:59,,563,473,90,2018-09-16,2018-09-22,PHABENI GATE,09:00,09:59
10:00 - 10:59,,474,388,86,2018-09-16,2018-09-22,PHABENI GATE,10:00,10:59
11:00 - 11:59,,379,237,142,2018-09-16,2018-09-22,PHABENI GATE,11:00,11:59
12:00 - 12:59,,223,134,89,2018-09-16,2018-09-22,PHABENI GATE,12:00,12:59
13:00 - 13:59,,322,243,79,2018-09-16,2018-09-22,PHABENI GATE,13:00,13:59
14:00 - 14:59,,267,223,44,2018-09-16,2018-09-22,PHABENI GATE,14:00,14:59
15:00 - 15:59,,93,49,44,2018-09-16,2018-09-22,PHABENI GATE,15:00,15:59
16:00 - 16:59,,87,36,51,2018-09-16,2018-09-22,PHABENI GATE,16:00,16:59
17:00 - 17:59,,10,10,0,2018-09-16,2018-09-22,PHABENI GATE,17:00,17:59
05:00 - 05:59,,56,54,2,2018-09-16,2018-09-22,PHALABORWA GATE,05:00,05:59
06:00 - 06:59,,380,306,74,2018-09-16,2018-09-22,PHALABORWA GATE,06:00,06:59
07:00 - 07:59,,283,214,69,2018-09-16,2018-09-22,PHALABORWA GATE,07:00,07:59
08:00 - 08:59,,447,381,66,2018-09-16,2018-09-22,PHALABORWA GATE,08:00,08:59
09:00 - 09:59,,458,303,155,2018-09-16,2018-09-22,PHALABORWA GATE,09:00,09:59
10:00 - 10:59,,416,281,135,2018-09-16,2018-09-22,PHALABORWA GATE,10:00,10:59
11:00 - 11:59,,392,203,189,2018-09-16,2018-09-22,PHALABORWA GATE,11:00,11:59
12:00 - 12:59,,406,167,239,2018-09-16,2018-09-22,PHALABORWA GATE,12:00,12:59
13:00 - 13:59,,328,75,253,2018-09-16,2018-09-22,PHALABORWA GATE,13:00,13:59
14:00 - 14:59,,280,63,217,2018-09-16,2018-09-22,PHALABORWA GATE,14:00,14:59
15:00 - 15:59,,417,118,299,2018-09-16,2018-09-22,PHALABORWA GATE,15:00,15:59
16:00 - 16:59,,203,76,127,2018-09-16,2018-09-22,PHALABORWA GATE,16:00,16:59
17:00 - 17:59,,82,58,24,2018-09-16,2018-09-22,PHALABORWA GATE,17:00,17:59
05:00 - 05:59,,1,1,0,2018-09-16,2018-09-22,PUNDA MARIA GATE,05:00,05:59
06:00 - 06:59,,368,364,4,2018-09-16,2018-09-22,PUNDA MARIA GATE,06:00,06:59
07:00 - 07:59,,907,888,19,2018-09-16,2018-09-22,PUNDA MARIA GATE,07:00,07:59
08:00 - 08:59,,793,752,41,2018-09-16,2018-09-22,PUNDA MARIA GATE,08:00,08:59
09:00 - 09:59,,243,219,24,2018-09-16,2018-09-22,PUNDA MARIA GATE,09:00,09:59
10:00 - 10:59,,137,111,26,2018-09-16,2018-09-22,PUNDA MARIA GATE,10:00,10:59
11:00 - 11:59,,132,110,22,2018-09-16,2018-09-22,PUNDA MARIA GATE,11:00,11:59
12:00 - 12:59,,170,116,54,2018-09-16,2018-09-22,PUNDA MARIA GATE,12:00,12:59
13:00 - 13:59,,226,152,74,2018-09-16,2018-09-22,PUNDA MARIA GATE,13:00,13:59
14:00 - 14:59,,112,58,54,2018-09-16,2018-09-22,PUNDA MARIA GATE,14:00,14:59
15:00 - 15:59,,68,38,30,2018-09-16,2018-09-22,PUNDA MARIA GATE,15:00,15:59
16:00 - 16:59,,40,22,18,2018-09-16,2018-09-22,PUNDA MARIA GATE,16:00,16:59
17:00 - 17:59,,27,6,21,2018-09-16,2018-09-22,PUNDA MARIA GATE,17:00,17:59
