hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
10:00 - 10:59,,407,352,55,2018-09-30,2018-10-06,CROCODILE BRIDGE GATE,10:00,10:59
11:00 - 11:59,,255,231,24,2018-09-30,2018-10-06,CROCODILE BRIDGE GATE,11:00,11:59
05:00 - 05:59,,956,920,36,2018-09-30,2018-10-06,CROCODILE BRIDGE GATE,05:00,05:59
06:00 - 06:59,,1689,1613,76,2018-09-30,2018-10-06,CROCODILE BRIDGE GATE,06:00,06:59
07:00 - 07:59,,981,956,25,2018-09-30,2018-10-06,CROCODILE BRIDGE GATE,07:00,07:59
08:00 - 08:59,,747,668,79,2018-09-30,2018-10-06,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,512,460,52,2018-09-30,2018-10-06,CROCODILE BRIDGE GATE,09:00,09:59
12:00 - 12:59,,200,145,55,2018-09-30,2018-10-06,CROCODILE BRIDGE GATE,12:00,12:59
13:00 - 13:59,,220,141,79,2018-09-30,2018-10-06,CROCODILE BRIDGE GATE,13:00,13:59
14:00 - 14:59,,295,243,52,2018-09-30,2018-10-06,CROCODILE BRIDGE GATE,14:00,14:59
15:00 - 15:59,,169,145,24,2018-09-30,2018-10-06,CROCODILE BRIDGE GATE,15:00,15:59
16:00 - 16:59,,140,127,13,2018-09-30,2018-10-06,CROCODILE BRIDGE GATE,16:00,16:59
17:00 - 17:59,,94,76,18,2018-09-30,2018-10-06,CROCODILE BRIDGE GATE,17:00,17:59
18:00 - 18:59,,3,3,0,2018-09-30,2018-10-06,CROCODILE BRIDGE GATE,18:00,18:59
08:00 - 08:59,,25,23,2,2018-09-30,2018-10-06,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,31,15,16,2018-09-30,2018-10-06,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,34,29,5,2018-09-30,2018-10-06,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,17,15,2,2018-09-30,2018-10-06,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,39,39,0,2018-09-30,2018-10-06,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,50,30,20,2018-09-30,2018-10-06,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,44,40,4,2018-09-30,2018-10-06,GIRIYONDO BORDER GATE,14:00,14:59
15:00 - 15:59,,37,33,4,2018-09-30,2018-10-06,GIRIYONDO BORDER GATE,15:00,15:59
16:00 - 16:59,,13,0,13,2018-09-30,2018-10-06,GIRIYONDO BORDER GATE,16:00,16:59
05:00 - 05:59,,753,735,18,2018-09-30,2018-10-06,KRUGER GATE,05:00,05:59
06:00 - 06:59,,781,772,9,2018-09-30,2018-10-06,KRUGER GATE,06:00,06:59
07:00 - 07:59,,488,452,36,2018-09-30,2018-10-06,KRUGER GATE,07:00,07:59
08:00 - 08:59,,586,534,52,2018-09-30,2018-10-06,KRUGER GATE,08:00,08:59
09:00 - 09:59,,608,552,56,2018-09-30,2018-10-06,KRUGER GATE,09:00,09:59
10:00 - 10:59,,537,467,70,2018-09-30,2018-10-06,KRUGER GATE,10:00,10:59
11:00 - 11:59,,542,471,71,2018-09-30,2018-10-06,KRUGER GATE,11:00,11:59
12:00 - 12:59,,508,435,73,2018-09-30,2018-10-06,KRUGER GATE,12:00,12:59
13:00 - 13:59,,381,277,104,2018-09-30,2018-10-06,KRUGER GATE,13:00,13:59
14:00 - 14:59,,274,216,58,2018-09-30,2018-10-06,KRUGER GATE,14:00,14:59
15:00 - 15:59,,331,246,85,2018-09-30,2018-10-06,KRUGER GATE,15:00,15:59
16:00 - 16:59,,127,77,50,2018-09-30,2018-10-06,KRUGER GATE,16:00,16:59
17:00 - 17:59,,81,34,47,2018-09-30,2018-10-06,KRUGER GATE,17:00,17:59
18:00 - 18:59,,4,2,2,2018-09-30,2018-10-06,KRUGER GATE,18:00,18:59
05:00 - 05:59,,1010,293,717,2018-09-30,2018-10-06,MALELANE GATE,05:00,05:59
06:00 - 06:59,,1011,615,396,2018-09-30,2018-10-06,MALELANE GATE,06:00,06:59
07:00 - 07:59,,549,443,106,2018-09-30,2018-10-06,MALELANE GATE,07:00,07:59
08:00 - 08:59,,646,443,203,2018-09-30,2018-10-06,MALELANE GATE,08:00,08:59
09:00 - 09:59,,751,501,250,2018-09-30,2018-10-06,MALELANE GATE,09:00,09:59
10:00 - 10:59,,852,625,227,2018-09-30,2018-10-06,MALELANE GATE,10:00,10:59
11:00 - 11:59,,481,260,221,2018-09-30,2018-10-06,MALELANE GATE,11:00,11:59
12:00 - 12:59,,539,307,232,2018-09-30,2018-10-06,MALELANE GATE,12:00,12:59
13:00 - 13:59,,462,170,292,2018-09-30,2018-10-06,MALELANE GATE,13:00,13:59
14:00 - 14:59,,455,263,192,2018-09-30,2018-10-06,MALELANE GATE,14:00,14:59
15:00 - 15:59,,441,268,173,2018-09-30,2018-10-06,MALELANE GATE,15:00,15:59
16:00 - 16:59,,236,115,121,2018-09-30,2018-10-06,MALELANE GATE,16:00,16:59
17:00 - 17:59,,76,40,36,2018-09-30,2018-10-06,MALELANE GATE,17:00,17:59
18:00 - 18:59,,2,0,2,2018-09-30,2018-10-06,MALELANE GATE,18:00,18:59
05:00 - 05:59,,2064,2057,7,2018-09-30,2018-10-06,NUMBI GATE,05:00,05:59
06:00 - 06:59,,1362,1329,33,2018-09-30,2018-10-06,NUMBI GATE,06:00,06:59
07:00 - 07:59,,266,253,13,2018-09-30,2018-10-06,NUMBI GATE,07:00,07:59
08:00 - 08:59,,335,308,27,2018-09-30,2018-10-06,NUMBI GATE,08:00,08:59
09:00 - 09:59,,407,355,52,2018-09-30,2018-10-06,NUMBI GATE,09:00,09:59
10:00 - 10:59,,374,323,51,2018-09-30,2018-10-06,NUMBI GATE,10:00,10:59
11:00 - 11:59,,200,149,51,2018-09-30,2018-10-06,NUMBI GATE,11:00,11:59
12:00 - 12:59,,199,117,82,2018-09-30,2018-10-06,NUMBI GATE,12:00,12:59
