hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
06:00 - 06:59,,2687,2442,245,2018-07-08,2018-07-14,CROCODILE BRIDGE GATE,06:00,06:59
10:00 - 10:59,,1241,1177,64,2018-07-08,2018-07-14,CROCODILE BRIDGE GATE,10:00,10:59
11:00 - 11:59,,994,894,100,2018-07-08,2018-07-14,CROCODILE BRIDGE GATE,11:00,11:59
12:00 - 12:59,,704,634,70,2018-07-08,2018-07-14,CROCODILE BRIDGE GATE,12:00,12:59
14:00 - 14:59,,317,283,34,2018-07-08,2018-07-14,CROCODILE BRIDGE GATE,14:00,14:59
15:00 - 15:59,,235,191,44,2018-07-08,2018-07-14,CROCODILE BRIDGE GATE,15:00,15:59
16:00 - 16:59,,102,85,17,2018-07-08,2018-07-14,CROCODILE BRIDGE GATE,16:00,16:59
05:00 - 05:59,,364,333,31,2018-07-08,2018-07-14,CROCODILE BRIDGE GATE,05:00,05:59
07:00 - 07:59,,2323,2165,158,2018-07-08,2018-07-14,CROCODILE BRIDGE GATE,07:00,07:59
08:00 - 08:59,,1738,1607,131,2018-07-08,2018-07-14,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,1627,1492,135,2018-07-08,2018-07-14,CROCODILE BRIDGE GATE,09:00,09:59
13:00 - 13:59,,331,256,75,2018-07-08,2018-07-14,CROCODILE BRIDGE GATE,13:00,13:59
17:00 - 17:59,,51,23,28,2018-07-08,2018-07-14,CROCODILE BRIDGE GATE,17:00,17:59
08:00 - 08:59,,60,43,17,2018-07-08,2018-07-14,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,35,31,4,2018-07-08,2018-07-14,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,66,38,28,2018-07-08,2018-07-14,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,24,20,4,2018-07-08,2018-07-14,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,51,38,13,2018-07-08,2018-07-14,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,37,35,2,2018-07-08,2018-07-14,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,20,20,0,2018-07-08,2018-07-14,GIRIYONDO BORDER GATE,14:00,14:59
05:00 - 05:59,,115,115,0,2018-07-08,2018-07-14,KRUGER GATE,05:00,05:59
06:00 - 06:59,,1105,1068,37,2018-07-08,2018-07-14,KRUGER GATE,06:00,06:59
07:00 - 07:59,,722,691,31,2018-07-08,2018-07-14,KRUGER GATE,07:00,07:59
08:00 - 08:59,,730,673,57,2018-07-08,2018-07-14,KRUGER GATE,08:00,08:59
09:00 - 09:59,,745,695,50,2018-07-08,2018-07-14,KRUGER GATE,09:00,09:59
10:00 - 10:59,,803,740,63,2018-07-08,2018-07-14,KRUGER GATE,10:00,10:59
11:00 - 11:59,,780,709,71,2018-07-08,2018-07-14,KRUGER GATE,11:00,11:59
12:00 - 12:59,,704,621,83,2018-07-08,2018-07-14,KRUGER GATE,12:00,12:59
13:00 - 13:59,,521,411,110,2018-07-08,2018-07-14,KRUGER GATE,13:00,13:59
14:00 - 14:59,,412,357,55,2018-07-08,2018-07-14,KRUGER GATE,14:00,14:59
15:00 - 15:59,,288,238,50,2018-07-08,2018-07-14,KRUGER GATE,15:00,15:59
16:00 - 16:59,,175,110,65,2018-07-08,2018-07-14,KRUGER GATE,16:00,16:59
17:00 - 17:59,,57,48,9,2018-07-08,2018-07-14,KRUGER GATE,17:00,17:59
05:00 - 05:59,,279,33,246,2018-07-08,2018-07-14,MALELANE GATE,05:00,05:59
06:00 - 06:59,,1357,1010,347,2018-07-08,2018-07-14,MALELANE GATE,06:00,06:59
07:00 - 07:59,,760,603,157,2018-07-08,2018-07-14,MALELANE GATE,07:00,07:59
08:00 - 08:59,,721,536,185,2018-07-08,2018-07-14,MALELANE GATE,08:00,08:59
09:00 - 09:59,,708,495,213,2018-07-08,2018-07-14,MALELANE GATE,09:00,09:59
10:00 - 10:59,,770,529,241,2018-07-08,2018-07-14,MALELANE GATE,10:00,10:59
11:00 - 11:59,,607,373,234,2018-07-08,2018-07-14,MALELANE GATE,11:00,11:59
12:00 - 12:59,,585,337,248,2018-07-08,2018-07-14,MALELANE GATE,12:00,12:59
13:00 - 13:59,,355,177,178,2018-07-08,2018-07-14,MALELANE GATE,13:00,13:59
14:00 - 14:59,,313,186,127,2018-07-08,2018-07-14,MALELANE GATE,14:00,14:59
15:00 - 15:59,,277,119,158,2018-07-08,2018-07-14,MALELANE GATE,15:00,15:59
16:00 - 16:59,,188,82,106,2018-07-08,2018-07-14,MALELANE GATE,16:00,16:59
17:00 - 17:59,,62,10,52,2018-07-08,2018-07-14,MALELANE GATE,17:00,17:59
05:00 - 05:59,,901,898,3,2018-07-08,2018-07-14,NUMBI GATE,05:00,05:59
06:00 - 06:59,,888,856,32,2018-07-08,2018-07-14,NUMBI GATE,06:00,06:59
07:00 - 07:59,,506,490,16,2018-07-08,2018-07-14,NUMBI GATE,07:00,07:59
08:00 - 08:59,,388,352,36,2018-07-08,2018-07-14,NUMBI GATE,08:00,08:59
09:00 - 09:59,,356,314,42,2018-07-08,2018-07-14,NUMBI GATE,09:00,09:59
10:00 - 10:59,,342,282,60,2018-07-08,2018-07-14,NUMBI GATE,10:00,10:59
11:00 - 11:59,,368,291,77,2018-07-08,2018-07-14,NUMBI GATE,11:00,11:59
12:00 - 12:59,,269,187,82,2018-07-08,2018-07-14,NUMBI GATE,12:00,12:59
13:00 - 13:59,,198,124,74,2018-07-08,2018-07-14,NUMBI GATE,13:00,13:59
14:00 - 14:59,,234,167,67,2018-07-08,2018-07-14,NUMBI GATE,14:00,14:59
15:00 - 15:59,,125,73,52,2018-07-08,2018-07-14,NUMBI GATE,15:00,15:59
16:00 - 16:59,,101,25,76,2018-07-08,2018-07-14,NUMBI GATE,16:00,16:59
17:00 - 17:59,,10,3,7,2018-07-08,2018-07-14,NUMBI GATE,17:00,17:59
06:00 - 06:59,,891,839,52,2018-07-08,2018-07-14,ORPEN GATE,06:00,06:59
07:00 - 07:59,,755,674,81,2018-07-08,2018-07-14,ORPEN GATE,07:00,07:59
08:00 - 08:59,,422,340,82,2018-07-08,2018-07-14,ORPEN GATE,08:00,08:59
09:00 - 09:59,,431,322,109,2018-07-08,2018-07-14,ORPEN GATE,09:00,09:59
10:00 - 10:59,,381,263,118,2018-07-08,2018-07-14,ORPEN GATE,10:00,10:59
11:00 - 11:59,,321,198,123,2018-07-08,2018-07-14,ORPEN GATE,11:00,11:59
12:00 - 12:59,,252,129,123,2018-07-08,2018-07-14,ORPEN GATE,12:00,12:59
13:00 - 13:59,,229,118,111,2018-07-08,2018-07-14,ORPEN GATE,13:00,13:59
14:00 - 14:59,,139,82,57,2018-07-08,2018-07-14,ORPEN GATE,14:00,14:59
15:00 - 15:59,,101,33,68,2018-07-08,2018-07-14,ORPEN GATE,15:00,15:59
16:00 - 16:59,,65,7,58,2018-07-08,2018-07-14,ORPEN GATE,16:00,16:59
17:00 - 17:59,,10,0,10,2018-07-08,2018-07-14,ORPEN GATE,17:00,17:59
06:00 - 06:59,,62,45,17,2018-07-08,2018-07-14,PAFURI GATE,06:00,06:59
07:00 - 07:59,,128,107,21,2018-07-08,2018-07-14,PAFURI GATE,07:00,07:59
08:00 - 08:59,,93,64,29,2018-07-08,2018-07-14,PAFURI GATE,08:00,08:59
09:00 - 09:59,,104,61,43,2018-07-08,2018-07-14,PAFURI GATE,09:00,09:59
10:00 - 10:59,,56,27,29,2018-07-08,2018-07-14,PAFURI GATE,10:00,10:59
11:00 - 11:59,,75,40,35,2018-07-08,2018-07-14,PAFURI GATE,11:00,11:59
12:00 - 12:59,,41,22,19,2018-07-08,2018-07-14,PAFURI GATE,12:00,12:59
13:00 - 13:59,,52,24,28,2018-07-08,2018-07-14,PAFURI GATE,13:00,13:59
14:00 - 14:59,,26,2,24,2018-07-08,2018-07-14,PAFURI GATE,14:00,14:59
15:00 - 15:59,,21,21,0,2018-07-08,2018-07-14,PAFURI GATE,15:00,15:59
16:00 - 16:59,,14,6,8,2018-07-08,2018-07-14,PAFURI GATE,16:00,16:59
17:00 - 17:59,,6,6,0,2018-07-08,2018-07-14,PAFURI GATE,17:00,17:59
05:00 - 05:59,,605,605,0,2018-07-08,2018-07-14,PHABENI GATE,05:00,05:59
06:00 - 06:59,,2033,1923,110,2018-07-08,2018-07-14,PHABENI GATE,06:00,06:59
07:00 - 07:59,,1610,1507,103,2018-07-08,2018-07-14,PHABENI GATE,07:00,07:59
08:00 - 08:59,,1143,1054,89,2018-07-08,2018-07-14,PHABENI GATE,08:00,08:59
09:00 - 09:59,,804,690,114,2018-07-08,2018-07-14,PHABENI GATE,09:00,09:59
10:00 - 10:59,,549,414,135,2018-07-08,2018-07-14,PHABENI GATE,10:00,10:59
