hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
05:00 - 05:59,,557,508,49,2019-11-24,2019-11-30,CROCODILE BRIDGE GATE,05:00,05:59
06:00 - 06:59,,718,656,62,2019-11-24,2019-11-30,CROCODILE BRIDGE GATE,06:00,06:59
07:00 - 07:59,,464,447,17,2019-11-24,2019-11-30,CROCODILE BRIDGE GATE,07:00,07:59
08:00 - 08:59,,480,417,63,2019-11-24,2019-11-30,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,422,378,44,2019-11-24,2019-11-30,CROCODILE BRIDGE GATE,09:00,09:59
10:00 - 10:59,,432,380,52,2019-11-24,2019-11-30,CROCODILE BRIDGE GATE,10:00,10:59
11:00 - 11:59,,408,382,26,2019-11-24,2019-11-30,CROCODILE BRIDGE GATE,11:00,11:59
12:00 - 12:59,,353,301,52,2019-11-24,2019-11-30,CROCODILE BRIDGE GATE,12:00,12:59
13:00 - 13:59,,134,112,22,2019-11-24,2019-11-30,CROCODILE BRIDGE GATE,13:00,13:59
14:00 - 14:59,,113,92,21,2019-11-24,2019-11-30,CROCODILE BRIDGE GATE,14:00,14:59
15:00 - 15:59,,137,103,34,2019-11-24,2019-11-30,CROCODILE BRIDGE GATE,15:00,15:59
16:00 - 16:59,,215,141,74,2019-11-24,2019-11-30,CROCODILE BRIDGE GATE,16:00,16:59
17:00 - 17:59,,151,125,26,2019-11-24,2019-11-30,CROCODILE BRIDGE GATE,17:00,17:59
18:00 - 18:59,,166,149,17,2019-11-24,2019-11-30,CROCODILE BRIDGE GATE,18:00,18:59
08:00 - 08:59,,23,23,0,2019-11-24,2019-11-30,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,10,10,0,2019-11-24,2019-11-30,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,13,11,2,2019-11-24,2019-11-30,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,15,13,2,2019-11-24,2019-11-30,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,17,17,0,2019-11-24,2019-11-30,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,30,18,12,2019-11-24,2019-11-30,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,8,0,8,2019-11-24,2019-11-30,GIRIYONDO BORDER GATE,14:00,14:59
15:00 - 15:59,,4,4,0,2019-11-24,2019-11-30,GIRIYONDO BORDER GATE,15:00,15:59
05:00 - 05:59,,554,542,12,2019-11-24,2019-11-30,KRUGER GATE,05:00,05:59
06:00 - 06:59,,478,474,4,2019-11-24,2019-11-30,KRUGER GATE,06:00,06:59
07:00 - 07:59,,219,167,52,2019-11-24,2019-11-30,KRUGER GATE,07:00,07:59
08:00 - 08:59,,275,252,23,2019-11-24,2019-11-30,KRUGER GATE,08:00,08:59
09:00 - 09:59,,396,382,14,2019-11-24,2019-11-30,KRUGER GATE,09:00,09:59
10:00 - 10:59,,354,320,34,2019-11-24,2019-11-30,KRUGER GATE,10:00,10:59
11:00 - 11:59,,308,280,28,2019-11-24,2019-11-30,KRUGER GATE,11:00,11:59
12:00 - 12:59,,293,232,61,2019-11-24,2019-11-30,KRUGER GATE,12:00,12:59
13:00 - 13:59,,200,168,32,2019-11-24,2019-11-30,KRUGER GATE,13:00,13:59
14:00 - 14:59,,199,137,62,2019-11-24,2019-11-30,KRUGER GATE,14:00,14:59
15:00 - 15:59,,121,97,24,2019-11-24,2019-11-30,KRUGER GATE,15:00,15:59
16:00 - 16:59,,151,76,75,2019-11-24,2019-11-30,KRUGER GATE,16:00,16:59
17:00 - 17:59,,83,42,41,2019-11-24,2019-11-30,KRUGER GATE,17:00,17:59
18:00 - 18:59,,25,7,18,2019-11-24,2019-11-30,KRUGER GATE,18:00,18:59
05:00 - 05:59,,553,302,251,2019-11-24,2019-11-30,MALELANE GATE,05:00,05:59
06:00 - 06:59,,548,380,168,2019-11-24,2019-11-30,MALELANE GATE,06:00,06:59
07:00 - 07:59,,260,208,52,2019-11-24,2019-11-30,MALELANE GATE,07:00,07:59
