hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
05:00 - 05:59,,370,364,6,2019-07-07,2019-07-13,CROCODILE BRIDGE GATE,05:00,05:59
06:00 - 06:59,,2119,1876,243,2019-07-07,2019-07-13,CROCODILE BRIDGE GATE,06:00,06:59
07:00 - 07:59,,1283,1171,112,2019-07-07,2019-07-13,CROCODILE BRIDGE GATE,07:00,07:59
08:00 - 08:59,,1040,961,79,2019-07-07,2019-07-13,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,979,879,100,2019-07-07,2019-07-13,CROCODILE BRIDGE GATE,09:00,09:59
10:00 - 10:59,,643,561,82,2019-07-07,2019-07-13,CROCODILE BRIDGE GATE,10:00,10:59
11:00 - 11:59,,430,336,94,2019-07-07,2019-07-13,CROCODILE BRIDGE GATE,11:00,11:59
12:00 - 12:59,,334,250,84,2019-07-07,2019-07-13,CROCODILE BRIDGE GATE,12:00,12:59
13:00 - 13:59,,245,194,51,2019-07-07,2019-07-13,CROCODILE BRIDGE GATE,13:00,13:59
14:00 - 14:59,,284,210,74,2019-07-07,2019-07-13,CROCODILE BRIDGE GATE,14:00,14:59
15:00 - 15:59,,190,128,62,2019-07-07,2019-07-13,CROCODILE BRIDGE GATE,15:00,15:59
16:00 - 16:59,,101,65,36,2019-07-07,2019-07-13,CROCODILE BRIDGE GATE,16:00,16:59
17:00 - 17:59,,17,6,11,2019-07-07,2019-07-13,CROCODILE BRIDGE GATE,17:00,17:59
08:00 - 08:59,,30,30,0,2019-07-07,2019-07-13,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,9,9,0,2019-07-07,2019-07-13,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,10,8,2,2019-07-07,2019-07-13,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,36,28,8,2019-07-07,2019-07-13,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,25,21,4,2019-07-07,2019-07-13,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,44,35,9,2019-07-07,2019-07-13,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,28,18,10,2019-07-07,2019-07-13,GIRIYONDO BORDER GATE,14:00,14:59
15:00 - 15:59,,2,2,0,2019-07-07,2019-07-13,GIRIYONDO BORDER GATE,15:00,15:59
05:00 - 05:59,,81,81,0,2019-07-07,2019-07-13,KRUGER GATE,05:00,05:59
06:00 - 06:59,,824,809,15,2019-07-07,2019-07-13,KRUGER GATE,06:00,06:59
07:00 - 07:59,,449,425,24,2019-07-07,2019-07-13,KRUGER GATE,07:00,07:59
08:00 - 08:59,,511,481,30,2019-07-07,2019-07-13,KRUGER GATE,08:00,08:59
09:00 - 09:59,,798,735,63,2019-07-07,2019-07-13,KRUGER GATE,09:00,09:59
10:00 - 10:59,,558,504,54,2019-07-07,2019-07-13,KRUGER GATE,10:00,10:59
11:00 - 11:59,,436,386,50,2019-07-07,2019-07-13,KRUGER GATE,11:00,11:59
12:00 - 12:59,,348,273,75,2019-07-07,2019-07-13,KRUGER GATE,12:00,12:59
13:00 - 13:59,,290,226,64,2019-07-07,2019-07-13,KRUGER GATE,13:00,13:59
14:00 - 14:59,,280,197,83,2019-07-07,2019-07-13,KRUGER GATE,14:00,14:59
15:00 - 15:59,,195,118,77,2019-07-07,2019-07-13,KRUGER GATE,15:00,15:59
16:00 - 16:59,,92,56,36,2019-07-07,2019-07-13,KRUGER GATE,16:00,16:59
17:00 - 17:59,,74,31,43,2019-07-07,2019-07-13,KRUGER GATE,17:00,17:59
05:00 - 05:59,,298,62,236,2019-07-07,2019-07-13,MALELANE GATE,05:00,05:59
06:00 - 06:59,,820,643,177,2019-07-07,2019-07-13,MALELANE GATE,06:00,06:59
07:00 - 07:59,,496,370,126,2019-07-07,2019-07-13,MALELANE GATE,07:00,07:59
08:00 - 08:59,,498,378,120,2019-07-07,2019-07-13,MALELANE GATE,08:00,08:59
09:00 - 09:59,,515,345,170,2019-07-07,2019-07-13,MALELANE GATE,09:00,09:59
10:00 - 10:59,,496,328,168,2019-07-07,2019-07-13,MALELANE GATE,10:00,10:59
11:00 - 11:59,,543,230,313,2019-07-07,2019-07-13,MALELANE GATE,11:00,11:59
12:00 - 12:59,,404,203,201,2019-07-07,2019-07-13,MALELANE GATE,12:00,12:59
13:00 - 13:59,,404,145,259,2019-07-07,2019-07-13,MALELANE GATE,13:00,13:59
14:00 - 14:59,,321,130,191,2019-07-07,2019-07-13,MALELANE GATE,14:00,14:59
15:00 - 15:59,,287,76,211,2019-07-07,2019-07-13,MALELANE GATE,15:00,15:59
16:00 - 16:59,,134,28,106,2019-07-07,2019-07-13,MALELANE GATE,16:00,16:59
17:00 - 17:59,,19,0,19,2019-07-07,2019-07-13,MALELANE GATE,17:00,17:59
05:00 - 05:59,,367,364,3,2019-07-07,2019-07-13,NUMBI GATE,05:00,05:59
06:00 - 06:59,,651,613,38,2019-07-07,2019-07-13,NUMBI GATE,06:00,06:59
07:00 - 07:59,,216,203,13,2019-07-07,2019-07-13,NUMBI GATE,07:00,07:59
08:00 - 08:59,,171,153,18,2019-07-07,2019-07-13,NUMBI GATE,08:00,08:59
09:00 - 09:59,,175,146,29,2019-07-07,2019-07-13,NUMBI GATE,09:00,09:59
10:00 - 10:59,,171,125,46,2019-07-07,2019-07-13,NUMBI GATE,10:00,10:59
11:00 - 11:59,,184,100,84,2019-07-07,2019-07-13,NUMBI GATE,11:00,11:59
12:00 - 12:59,,64,55,9,2019-07-07,2019-07-13,NUMBI GATE,12:00,12:59
13:00 - 13:59,,174,62,112,2019-07-07,2019-07-13,NUMBI GATE,13:00,13:59
14:00 - 14:59,,173,101,72,2019-07-07,2019-07-13,NUMBI GATE,14:00,14:59
15:00 - 15:59,,111,9,102,2019-07-07,2019-07-13,NUMBI GATE,15:00,15:59
16:00 - 16:59,,40,1,39,2019-07-07,2019-07-13,NUMBI GATE,16:00,16:59
17:00 - 17:59,,8,0,8,2019-07-07,2019-07-13,NUMBI GATE,17:00,17:59
06:00 - 06:59,,619,537,82,2019-07-07,2019-07-13,ORPEN GATE,06:00,06:59
07:00 - 07:59,,509,430,79,2019-07-07,2019-07-13,ORPEN GATE,07:00,07:59
08:00 - 08:59,,309,252,57,2019-07-07,2019-07-13,ORPEN GATE,08:00,08:59
09:00 - 09:59,,332,255,77,2019-07-07,2019-07-13,ORPEN GATE,09:00,09:59
10:00 - 10:59,,302,196,106,2019-07-07,2019-07-13,ORPEN GATE,10:00,10:59
11:00 - 11:59,,246,97,149,2019-07-07,2019-07-13,ORPEN GATE,11:00,11:59
12:00 - 12:59,,258,111,147,2019-07-07,2019-07-13,ORPEN GATE,12:00,12:59
13:00 - 13:59,,155,43,112,2019-07-07,2019-07-13,ORPEN GATE,13:00,13:59
14:00 - 14:59,,152,48,104,2019-07-07,2019-07-13,ORPEN GATE,14:00,14:59
15:00 - 15:59,,100,10,90,2019-07-07,2019-07-13,ORPEN GATE,15:00,15:59
16:00 - 16:59,,52,7,45,2019-07-07,2019-07-13,ORPEN GATE,16:00,16:59
17:00 - 17:59,,14,0,14,2019-07-07,2019-07-13,ORPEN GATE,17:00,17:59
06:00 - 06:59,,34,30,4,2019-07-07,2019-07-13,PAFURI GATE,06:00,06:59
07:00 - 07:59,,62,42,20,2019-07-07,2019-07-13,PAFURI GATE,07:00,07:59
08:00 - 08:59,,17,5,12,2019-07-07,2019-07-13,PAFURI GATE,08:00,08:59
09:00 - 09:59,,17,2,15,2019-07-07,2019-07-13,PAFURI GATE,09:00,09:59
10:00 - 10:59,,74,39,35,2019-07-07,2019-07-13,PAFURI GATE,10:00,10:59
11:00 - 11:59,,52,31,21,2019-07-07,2019-07-13,PAFURI GATE,11:00,11:59
12:00 - 12:59,,42,19,23,2019-07-07,2019-07-13,PAFURI GATE,12:00,12:59
13:00 - 13:59,,40,28,12,2019-07-07,2019-07-13,PAFURI GATE,13:00,13:59
14:00 - 14:59,,13,5,8,2019-07-07,2019-07-13,PAFURI GATE,14:00,14:59
15:00 - 15:59,,2,0,2,2019-07-07,2019-07-13,PAFURI GATE,15:00,15:59
16:00 - 16:59,,4,4,0,2019-07-07,2019-07-13,PAFURI GATE,16:00,16:59
05:00 - 05:59,,520,520,0,2019-07-07,2019-07-13,PHABENI GATE,05:00,05:59
06:00 - 06:59,,1674,1609,65,2019-07-07,2019-07-13,PHABENI GATE,06:00,06:59
07:00 - 07:59,,1267,1158,109,2019-07-07,2019-07-13,PHABENI GATE,07:00,07:59
08:00 - 08:59,,921,829,92,2019-07-07,2019-07-13,PHABENI GATE,08:00,08:59
09:00 - 09:59,,775,625,150,2019-07-07,2019-07-13,PHABENI GATE,09:00,09:59
10:00 - 10:59,,666,490,176,2019-07-07,2019-07-13,PHABENI GATE,10:00,10:59
11:00 - 11:59,,433,323,110,2019-07-07,2019-07-13,PHABENI GATE,11:00,11:59
12:00 - 12:59,,319,242,77,2019-07-07,2019-07-13,PHABENI GATE,12:00,12:59
13:00 - 13:59,,279,196,83,2019-07-07,2019-07-13,PHABENI GATE,13:00,13:59
14:00 - 14:59,,183,137,46,2019-07-07,2019-07-13,PHABENI GATE,14:00,14:59
15:00 - 15:59,,177,111,66,2019-07-07,2019-07-13,PHABENI GATE,15:00,15:59
16:00 - 16:59,,51,34,17,2019-07-07,2019-07-13,PHABENI GATE,16:00,16:59
05:00 - 05:59,,123,121,2,2019-07-07,2019-07-13,PHALABORWA GATE,05:00,05:59
06:00 - 06:59,,500,344,156,2019-07-07,2019-07-13,PHALABORWA GATE,06:00,06:59
07:00 - 07:59,,378,262,116,2019-07-07,2019-07-13,PHALABORWA GATE,07:00,07:59
08:00 - 08:59,,470,328,142,2019-07-07,2019-07-13,PHALABORWA GATE,08:00,08:59
09:00 - 09:59,,314,152,162,2019-07-07,2019-07-13,PHALABORWA GATE,09:00,09:59
10:00 - 10:59,,408,186,222,2019-07-07,2019-07-13,PHALABORWA GATE,10:00,10:59
11:00 - 11:59,,374,152,222,2019-07-07,2019-07-13,PHALABORWA GATE,11:00,11:59
12:00 - 12:59,,357,113,244,2019-07-07,2019-07-13,PHALABORWA GATE,12:00,12:59
13:00 - 13:59,,375,83,292,2019-07-07,2019-07-13,PHALABORWA GATE,13:00,13:59
14:00 - 14:59,,295,94,201,2019-07-07,2019-07-13,PHALABORWA GATE,14:00,14:59
15:00 - 15:59,,274,93,181,2019-07-07,2019-07-13,PHALABORWA GATE,15:00,15:59
16:00 - 16:59,,64,27,37,2019-07-07,2019-07-13,PHALABORWA GATE,16:00,16:59
05:00 - 05:59,,2,2,0,2019-07-07,2019-07-13,PUNDA MARIA GATE,05:00,05:59
06:00 - 06:59,,190,169,21,2019-07-07,2019-07-13,PUNDA MARIA GATE,06:00,06:59
07:00 - 07:59,,207,203,4,2019-07-07,2019-07-13,PUNDA MARIA GATE,07:00,07:59
08:00 - 08:59,,124,111,13,2019-07-07,2019-07-13,PUNDA MARIA GATE,08:00,08:59
09:00 - 09:59,,89,73,16,2019-07-07,2019-07-13,PUNDA MARIA GATE,09:00,09:59
