hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
13:00 - 13:59,,312,225,87,2019-09-22,2019-09-28,CROCODILE BRIDGE GATE,13:00,13:59
05:00 - 05:59,,566,555,11,2019-09-22,2019-09-28,CROCODILE BRIDGE GATE,05:00,05:59
06:00 - 06:59,,2736,2259,477,2019-09-22,2019-09-28,CROCODILE BRIDGE GATE,06:00,06:59
07:00 - 07:59,,2140,1842,298,2019-09-22,2019-09-28,CROCODILE BRIDGE GATE,07:00,07:59
08:00 - 08:59,,1645,1409,236,2019-09-22,2019-09-28,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,1403,1181,222,2019-09-22,2019-09-28,CROCODILE BRIDGE GATE,09:00,09:59
10:00 - 10:59,,816,724,92,2019-09-22,2019-09-28,CROCODILE BRIDGE GATE,10:00,10:59
11:00 - 11:59,,657,518,139,2019-09-22,2019-09-28,CROCODILE BRIDGE GATE,11:00,11:59
12:00 - 12:59,,301,196,105,2019-09-22,2019-09-28,CROCODILE BRIDGE GATE,12:00,12:59
14:00 - 14:59,,595,553,42,2019-09-22,2019-09-28,CROCODILE BRIDGE GATE,14:00,14:59
15:00 - 15:59,,373,302,71,2019-09-22,2019-09-28,CROCODILE BRIDGE GATE,15:00,15:59
16:00 - 16:59,,144,101,43,2019-09-22,2019-09-28,CROCODILE BRIDGE GATE,16:00,16:59
17:00 - 17:59,,24,4,20,2019-09-22,2019-09-28,CROCODILE BRIDGE GATE,17:00,17:59
18:00 - 18:59,,2,0,2,2019-09-22,2019-09-28,CROCODILE BRIDGE GATE,18:00,18:59
08:00 - 08:59,,26,26,0,2019-09-22,2019-09-28,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,27,25,2,2019-09-22,2019-09-28,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,37,32,5,2019-09-22,2019-09-28,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,47,39,8,2019-09-22,2019-09-28,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,36,36,0,2019-09-22,2019-09-28,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,64,55,9,2019-09-22,2019-09-28,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,40,34,6,2019-09-22,2019-09-28,GIRIYONDO BORDER GATE,14:00,14:59
15:00 - 15:59,,18,0,18,2019-09-22,2019-09-28,GIRIYONDO BORDER GATE,15:00,15:59
05:00 - 05:59,,256,256,0,2019-09-22,2019-09-28,KRUGER GATE,05:00,05:59
06:00 - 06:59,,1303,1258,45,2019-09-22,2019-09-28,KRUGER GATE,06:00,06:59
07:00 - 07:59,,762,712,50,2019-09-22,2019-09-28,KRUGER GATE,07:00,07:59
08:00 - 08:59,,705,633,72,2019-09-22,2019-09-28,KRUGER GATE,08:00,08:59
09:00 - 09:59,,868,766,102,2019-09-22,2019-09-28,KRUGER GATE,09:00,09:59
10:00 - 10:59,,769,753,16,2019-09-22,2019-09-28,KRUGER GATE,10:00,10:59
11:00 - 11:59,,736,654,82,2019-09-22,2019-09-28,KRUGER GATE,11:00,11:59
12:00 - 12:59,,463,384,79,2019-09-22,2019-09-28,KRUGER GATE,12:00,12:59
13:00 - 13:59,,404,344,60,2019-09-22,2019-09-28,KRUGER GATE,13:00,13:59
14:00 - 14:59,,342,271,71,2019-09-22,2019-09-28,KRUGER GATE,14:00,14:59
15:00 - 15:59,,302,257,45,2019-09-22,2019-09-28,KRUGER GATE,15:00,15:59
16:00 - 16:59,,168,116,52,2019-09-22,2019-09-28,KRUGER GATE,16:00,16:59
17:00 - 17:59,,53,33,20,2019-09-22,2019-09-28,KRUGER GATE,17:00,17:59
18:00 - 18:59,,2,0,2,2019-09-22,2019-09-28,KRUGER GATE,18:00,18:59
05:00 - 05:59,,441,113,328,2019-09-22,2019-09-28,MALELANE GATE,05:00,05:59
06:00 - 06:59,,1519,1155,364,2019-09-22,2019-09-28,MALELANE GATE,06:00,06:59
07:00 - 07:59,,1258,1016,242,2019-09-22,2019-09-28,MALELANE GATE,07:00,07:59
08:00 - 08:59,,1270,1014,256,2019-09-22,2019-09-28,MALELANE GATE,08:00,08:59
09:00 - 09:59,,1187,995,192,2019-09-22,2019-09-28,MALELANE GATE,09:00,09:59
10:00 - 10:59,,950,631,319,2019-09-22,2019-09-28,MALELANE GATE,10:00,10:59
