hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
18:00 - 18:59,,8,8,0,2019-05-12,2019-05-18,CROCODILE BRIDGE GATE,18:00,18:59
05:00 - 05:59,,193,190,3,2019-05-12,2019-05-18,CROCODILE BRIDGE GATE,05:00,05:59
06:00 - 06:59,,1238,1158,80,2019-05-12,2019-05-18,CROCODILE BRIDGE GATE,06:00,06:59
07:00 - 07:59,,807,740,67,2019-05-12,2019-05-18,CROCODILE BRIDGE GATE,07:00,07:59
08:00 - 08:59,,798,735,63,2019-05-12,2019-05-18,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,616,567,49,2019-05-12,2019-05-18,CROCODILE BRIDGE GATE,09:00,09:59
10:00 - 10:59,,476,405,71,2019-05-12,2019-05-18,CROCODILE BRIDGE GATE,10:00,10:59
11:00 - 11:59,,275,212,63,2019-05-12,2019-05-18,CROCODILE BRIDGE GATE,11:00,11:59
12:00 - 12:59,,202,142,60,2019-05-12,2019-05-18,CROCODILE BRIDGE GATE,12:00,12:59
13:00 - 13:59,,207,115,92,2019-05-12,2019-05-18,CROCODILE BRIDGE GATE,13:00,13:59
14:00 - 14:59,,124,95,29,2019-05-12,2019-05-18,CROCODILE BRIDGE GATE,14:00,14:59
15:00 - 15:59,,122,93,29,2019-05-12,2019-05-18,CROCODILE BRIDGE GATE,15:00,15:59
16:00 - 16:59,,59,30,29,2019-05-12,2019-05-18,CROCODILE BRIDGE GATE,16:00,16:59
17:00 - 17:59,,4,2,2,2019-05-12,2019-05-18,CROCODILE BRIDGE GATE,17:00,17:59
09:00 - 09:59,,16,14,2,2019-05-12,2019-05-18,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,14,12,2,2019-05-12,2019-05-18,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,35,28,7,2019-05-12,2019-05-18,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,6,6,0,2019-05-12,2019-05-18,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,31,24,7,2019-05-12,2019-05-18,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,17,17,0,2019-05-12,2019-05-18,GIRIYONDO BORDER GATE,14:00,14:59
05:00 - 05:59,,76,76,0,2019-05-12,2019-05-18,KRUGER GATE,05:00,05:59
06:00 - 06:59,,654,634,20,2019-05-12,2019-05-18,KRUGER GATE,06:00,06:59
07:00 - 07:59,,340,324,16,2019-05-12,2019-05-18,KRUGER GATE,07:00,07:59
08:00 - 08:59,,352,339,13,2019-05-12,2019-05-18,KRUGER GATE,08:00,08:59
09:00 - 09:59,,459,431,28,2019-05-12,2019-05-18,KRUGER GATE,09:00,09:59
10:00 - 10:59,,349,306,43,2019-05-12,2019-05-18,KRUGER GATE,10:00,10:59
11:00 - 11:59,,252,230,22,2019-05-12,2019-05-18,KRUGER GATE,11:00,11:59
12:00 - 12:59,,287,232,55,2019-05-12,2019-05-18,KRUGER GATE,12:00,12:59
13:00 - 13:59,,164,144,20,2019-05-12,2019-05-18,KRUGER GATE,13:00,13:59
14:00 - 14:59,,173,123,50,2019-05-12,2019-05-18,KRUGER GATE,14:00,14:59
15:00 - 15:59,,157,96,61,2019-05-12,2019-05-18,KRUGER GATE,15:00,15:59
16:00 - 16:59,,74,40,34,2019-05-12,2019-05-18,KRUGER GATE,16:00,16:59
17:00 - 17:59,,61,53,8,2019-05-12,2019-05-18,KRUGER GATE,17:00,17:59
05:00 - 05:59,,351,123,228,2019-05-12,2019-05-18,MALELANE GATE,05:00,05:59
06:00 - 06:59,,632,391,241,2019-05-12,2019-05-18,MALELANE GATE,06:00,06:59
07:00 - 07:59,,315,228,87,2019-05-12,2019-05-18,MALELANE GATE,07:00,07:59
08:00 - 08:59,,359,297,62,2019-05-12,2019-05-18,MALELANE GATE,08:00,08:59
09:00 - 09:59,,426,286,140,2019-05-12,2019-05-18,MALELANE GATE,09:00,09:59
10:00 - 10:59,,346,224,122,2019-05-12,2019-05-18,MALELANE GATE,10:00,10:59
11:00 - 11:59,,450,281,169,2019-05-12,2019-05-18,MALELANE GATE,11:00,11:59
12:00 - 12:59,,323,156,167,2019-05-12,2019-05-18,MALELANE GATE,12:00,12:59
13:00 - 13:59,,278,118,160,2019-05-12,2019-05-18,MALELANE GATE,13:00,13:59
14:00 - 14:59,,316,148,168,2019-05-12,2019-05-18,MALELANE GATE,14:00,14:59
15:00 - 15:59,,126,25,101,2019-05-12,2019-05-18,MALELANE GATE,15:00,15:59
16:00 - 16:59,,131,36,95,2019-05-12,2019-05-18,MALELANE GATE,16:00,16:59
17:00 - 17:59,,18,6,12,2019-05-12,2019-05-18,MALELANE GATE,17:00,17:59
05:00 - 05:59,,1041,1041,0,2019-05-12,2019-05-18,NUMBI GATE,05:00,05:59
06:00 - 06:59,,722,706,16,2019-05-12,2019-05-18,NUMBI GATE,06:00,06:59
07:00 - 07:59,,93,80,13,2019-05-12,2019-05-18,NUMBI GATE,07:00,07:59
08:00 - 08:59,,153,137,16,2019-05-12,2019-05-18,NUMBI GATE,08:00,08:59
09:00 - 09:59,,206,175,31,2019-05-12,2019-05-18,NUMBI GATE,09:00,09:59
10:00 - 10:59,,197,169,28,2019-05-12,2019-05-18,NUMBI GATE,10:00,10:59
11:00 - 11:59,,106,71,35,2019-05-12,2019-05-18,NUMBI GATE,11:00,11:59
12:00 - 12:59,,85,47,38,2019-05-12,2019-05-18,NUMBI GATE,12:00,12:59
13:00 - 13:59,,127,57,70,2019-05-12,2019-05-18,NUMBI GATE,13:00,13:59
14:00 - 14:59,,91,62,29,2019-05-12,2019-05-18,NUMBI GATE,14:00,14:59
15:00 - 15:59,,34,12,22,2019-05-12,2019-05-18,NUMBI GATE,15:00,15:59
16:00 - 16:59,,78,2,76,2019-05-12,2019-05-18,NUMBI GATE,16:00,16:59
17:00 - 17:59,,10,8,2,2019-05-12,2019-05-18,NUMBI GATE,17:00,17:59
06:00 - 06:59,,203,194,9,2019-05-12,2019-05-18,ORPEN GATE,06:00,06:59
07:00 - 07:59,,237,216,21,2019-05-12,2019-05-18,ORPEN GATE,07:00,07:59
08:00 - 08:59,,128,119,9,2019-05-12,2019-05-18,ORPEN GATE,08:00,08:59
09:00 - 09:59,,89,47,42,2019-05-12,2019-05-18,ORPEN GATE,09:00,09:59
10:00 - 10:59,,386,294,92,2019-05-12,2019-05-18,ORPEN GATE,10:00,10:59
11:00 - 11:59,,237,167,70,2019-05-12,2019-05-18,ORPEN GATE,11:00,11:59
12:00 - 12:59,,210,102,108,2019-05-12,2019-05-18,ORPEN GATE,12:00,12:59
13:00 - 13:59,,358,248,110,2019-05-12,2019-05-18,ORPEN GATE,13:00,13:59
14:00 - 14:59,,197,114,83,2019-05-12,2019-05-18,ORPEN GATE,14:00,14:59
15:00 - 15:59,,121,21,100,2019-05-12,2019-05-18,ORPEN GATE,15:00,15:59
16:00 - 16:59,,81,42,39,2019-05-12,2019-05-18,ORPEN GATE,16:00,16:59
17:00 - 17:59,,19,8,11,2019-05-12,2019-05-18,ORPEN GATE,17:00,17:59
06:00 - 06:59,,35,19,16,2019-05-12,2019-05-18,PAFURI GATE,06:00,06:59
07:00 - 07:59,,30,20,10,2019-05-12,2019-05-18,PAFURI GATE,07:00,07:59
08:00 - 08:59,,45,29,16,2019-05-12,2019-05-18,PAFURI GATE,08:00,08:59
09:00 - 09:59,,56,27,29,2019-05-12,2019-05-18,PAFURI GATE,09:00,09:59
10:00 - 10:59,,22,5,17,2019-05-12,2019-05-18,PAFURI GATE,10:00,10:59
11:00 - 11:59,,42,17,25,2019-05-12,2019-05-18,PAFURI GATE,11:00,11:59
12:00 - 12:59,,44,28,16,2019-05-12,2019-05-18,PAFURI GATE,12:00,12:59
13:00 - 13:59,,33,23,10,2019-05-12,2019-05-18,PAFURI GATE,13:00,13:59
14:00 - 14:59,,20,16,4,2019-05-12,2019-05-18,PAFURI GATE,14:00,14:59
15:00 - 15:59,,2,2,0,2019-05-12,2019-05-18,PAFURI GATE,15:00,15:59
16:00 - 16:59,,3,1,2,2019-05-12,2019-05-18,PAFURI GATE,16:00,16:59
05:00 - 05:59,,376,376,0,2019-05-12,2019-05-18,PHABENI GATE,05:00,05:59
06:00 - 06:59,,1119,1093,26,2019-05-12,2019-05-18,PHABENI GATE,06:00,06:59
07:00 - 07:59,,691,630,61,2019-05-12,2019-05-18,PHABENI GATE,07:00,07:59
08:00 - 08:59,,642,593,49,2019-05-12,2019-05-18,PHABENI GATE,08:00,08:59
09:00 - 09:59,,503,424,79,2019-05-12,2019-05-18,PHABENI GATE,09:00,09:59
10:00 - 10:59,,267,188,79,2019-05-12,2019-05-18,PHABENI GATE,10:00,10:59
11:00 - 11:59,,267,189,78,2019-05-12,2019-05-18,PHABENI GATE,11:00,11:59
12:00 - 12:59,,168,112,56,2019-05-12,2019-05-18,PHABENI GATE,12:00,12:59
13:00 - 13:59,,261,146,115,2019-05-12,2019-05-18,PHABENI GATE,13:00,13:59
14:00 - 14:59,,160,100,60,2019-05-12,2019-05-18,PHABENI GATE,14:00,14:59
15:00 - 15:59,,108,90,18,2019-05-12,2019-05-18,PHABENI GATE,15:00,15:59
16:00 - 16:59,,31,17,14,2019-05-12,2019-05-18,PHABENI GATE,16:00,16:59
05:00 - 05:59,,62,62,0,2019-05-12,2019-05-18,PHALABORWA GATE,05:00,05:59
06:00 - 06:59,,308,258,50,2019-05-12,2019-05-18,PHALABORWA GATE,06:00,06:59
07:00 - 07:59,,250,189,61,2019-05-12,2019-05-18,PHALABORWA GATE,07:00,07:59
08:00 - 08:59,,356,238,118,2019-05-12,2019-05-18,PHALABORWA GATE,08:00,08:59
09:00 - 09:59,,193,125,68,2019-05-12,2019-05-18,PHALABORWA GATE,09:00,09:59
10:00 - 10:59,,228,130,98,2019-05-12,2019-05-18,PHALABORWA GATE,10:00,10:59
11:00 - 11:59,,229,93,136,2019-05-12,2019-05-18,PHALABORWA GATE,11:00,11:59
12:00 - 12:59,,371,230,141,2019-05-12,2019-05-18,PHALABORWA GATE,12:00,12:59
13:00 - 13:59,,419,208,211,2019-05-12,2019-05-18,PHALABORWA GATE,13:00,13:59
14:00 - 14:59,,241,132,109,2019-05-12,2019-05-18,PHALABORWA GATE,14:00,14:59
15:00 - 15:59,,164,73,91,2019-05-12,2019-05-18,PHALABORWA GATE,15:00,15:59
16:00 - 16:59,,160,38,122,2019-05-12,2019-05-18,PHALABORWA GATE,16:00,16:59
17:00 - 17:59,,1,1,0,2019-05-12,2019-05-18,PHALABORWA GATE,17:00,17:59
05:00 - 05:59,,2,2,0,2019-05-12,2019-05-18,PUNDA MARIA GATE,05:00,05:59
06:00 - 06:59,,209,195,14,2019-05-12,2019-05-18,PUNDA MARIA GATE,06:00,06:59
07:00 - 07:59,,112,103,9,2019-05-12,2019-05-18,PUNDA MARIA GATE,07:00,07:59
08:00 - 08:59,,120,102,18,2019-05-12,2019-05-18,PUNDA MARIA GATE,08:00,08:59
09:00 - 09:59,,303,286,17,2019-05-12,2019-05-18,PUNDA MARIA GATE,09:00,09:59
10:00 - 10:59,,89,70,19,2019-05-12,2019-05-18,PUNDA MARIA GATE,10:00,10:59
11:00 - 11:59,,102,65,37,2019-05-12,2019-05-18,PUNDA MARIA GATE,11:00,11:59
12:00 - 12:59,,139,106,33,2019-05-12,2019-05-18,PUNDA MARIA GATE,12:00,12:59
13:00 - 13:59,,136,113,23,2019-05-12,2019-05-18,PUNDA MARIA GATE,13:00,13:59
14:00 - 14:59,,74,38,36,2019-05-12,2019-05-18,PUNDA MARIA GATE,14:00,14:59
15:00 - 15:59,,63,34,29,2019-05-12,2019-05-18,PUNDA MARIA GATE,15:00,15:59
16:00 - 16:59,,36,24,12,2019-05-12,2019-05-18,PUNDA MARIA GATE,16:00,16:59
