hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
10:00 - 10:59,,564,494,70,2019-12-15,2019-12-21,CROCODILE BRIDGE GATE,10:00,10:59
11:00 - 11:59,,503,435,68,2019-12-15,2019-12-21,CROCODILE BRIDGE GATE,11:00,11:59
05:00 - 05:59,,1361,1213,148,2019-12-15,2019-12-21,CROCODILE BRIDGE GATE,05:00,05:59
06:00 - 06:59,,2201,1920,281,2019-12-15,2019-12-21,CROCODILE BRIDGE GATE,06:00,06:59
07:00 - 07:59,,1090,986,104,2019-12-15,2019-12-21,CROCODILE BRIDGE GATE,07:00,07:59
08:00 - 08:59,,822,728,94,2019-12-15,2019-12-21,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,799,702,97,2019-12-15,2019-12-21,CROCODILE BRIDGE GATE,09:00,09:59
12:00 - 12:59,,384,318,66,2019-12-15,2019-12-21,CROCODILE BRIDGE GATE,12:00,12:59
13:00 - 13:59,,348,216,132,2019-12-15,2019-12-21,CROCODILE BRIDGE GATE,13:00,13:59
14:00 - 14:59,,286,207,79,2019-12-15,2019-12-21,CROCODILE BRIDGE GATE,14:00,14:59
15:00 - 15:59,,203,169,34,2019-12-15,2019-12-21,CROCODILE BRIDGE GATE,15:00,15:59
16:00 - 16:59,,216,158,58,2019-12-15,2019-12-21,CROCODILE BRIDGE GATE,16:00,16:59
17:00 - 17:59,,29,15,14,2019-12-15,2019-12-21,CROCODILE BRIDGE GATE,17:00,17:59
18:00 - 18:59,,24,2,22,2019-12-15,2019-12-21,CROCODILE BRIDGE GATE,18:00,18:59
08:00 - 08:59,,12,12,0,2019-12-15,2019-12-21,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,16,16,0,2019-12-15,2019-12-21,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,20,20,0,2019-12-15,2019-12-21,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,29,23,6,2019-12-15,2019-12-21,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,30,27,3,2019-12-15,2019-12-21,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,36,27,9,2019-12-15,2019-12-21,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,29,22,7,2019-12-15,2019-12-21,GIRIYONDO BORDER GATE,14:00,14:59
15:00 - 15:59,,15,15,0,2019-12-15,2019-12-21,GIRIYONDO BORDER GATE,15:00,15:59
05:00 - 05:59,,585,563,22,2019-12-15,2019-12-21,KRUGER GATE,05:00,05:59
06:00 - 06:59,,755,714,41,2019-12-15,2019-12-21,KRUGER GATE,06:00,06:59
07:00 - 07:59,,345,337,8,2019-12-15,2019-12-21,KRUGER GATE,07:00,07:59
08:00 - 08:59,,489,463,26,2019-12-15,2019-12-21,KRUGER GATE,08:00,08:59
09:00 - 09:59,,638,594,44,2019-12-15,2019-12-21,KRUGER GATE,09:00,09:59
10:00 - 10:59,,601,533,68,2019-12-15,2019-12-21,KRUGER GATE,10:00,10:59
11:00 - 11:59,,464,421,43,2019-12-15,2019-12-21,KRUGER GATE,11:00,11:59
12:00 - 12:59,,488,390,98,2019-12-15,2019-12-21,KRUGER GATE,12:00,12:59
13:00 - 13:59,,340,244,96,2019-12-15,2019-12-21,KRUGER GATE,13:00,13:59
14:00 - 14:59,,242,186,56,2019-12-15,2019-12-21,KRUGER GATE,14:00,14:59
15:00 - 15:59,,235,148,87,2019-12-15,2019-12-21,KRUGER GATE,15:00,15:59
16:00 - 16:59,,242,160,82,2019-12-15,2019-12-21,KRUGER GATE,16:00,16:59
17:00 - 17:59,,90,54,36,2019-12-15,2019-12-21,KRUGER GATE,17:00,17:59
18:00 - 18:59,,66,39,27,2019-12-15,2019-12-21,KRUGER GATE,18:00,18:59
05:00 - 05:59,,795,535,260,2019-12-15,2019-12-21,MALELANE GATE,05:00,05:59
06:00 - 06:59,,938,643,295,2019-12-15,2019-12-21,MALELANE GATE,06:00,06:59
07:00 - 07:59,,452,348,104,2019-12-15,2019-12-21,MALELANE GATE,07:00,07:59
08:00 - 08:59,,669,482,187,2019-12-15,2019-12-21,MALELANE GATE,08:00,08:59
09:00 - 09:59,,621,414,207,2019-12-15,2019-12-21,MALELANE GATE,09:00,09:59
10:00 - 10:59,,555,384,171,2019-12-15,2019-12-21,MALELANE GATE,10:00,10:59
11:00 - 11:59,,529,339,190,2019-12-15,2019-12-21,MALELANE GATE,11:00,11:59
12:00 - 12:59,,541,328,213,2019-12-15,2019-12-21,MALELANE GATE,12:00,12:59
13:00 - 13:59,,425,250,175,2019-12-15,2019-12-21,MALELANE GATE,13:00,13:59
14:00 - 14:59,,298,154,144,2019-12-15,2019-12-21,MALELANE GATE,14:00,14:59
15:00 - 15:59,,256,115,141,2019-12-15,2019-12-21,MALELANE GATE,15:00,15:59
16:00 - 16:59,,170,65,105,2019-12-15,2019-12-21,MALELANE GATE,16:00,16:59
17:00 - 17:59,,72,14,58,2019-12-15,2019-12-21,MALELANE GATE,17:00,17:59
18:00 - 18:59,,38,0,38,2019-12-15,2019-12-21,MALELANE GATE,18:00,18:59
05:00 - 05:59,,757,714,43,2019-12-15,2019-12-21,NUMBI GATE,05:00,05:59
06:00 - 06:59,,548,522,26,2019-12-15,2019-12-21,NUMBI GATE,06:00,06:59
07:00 - 07:59,,423,362,61,2019-12-15,2019-12-21,NUMBI GATE,07:00,07:59
08:00 - 08:59,,228,184,44,2019-12-15,2019-12-21,NUMBI GATE,08:00,08:59
09:00 - 09:59,,261,222,39,2019-12-15,2019-12-21,NUMBI GATE,09:00,09:59
10:00 - 10:59,,301,241,60,2019-12-15,2019-12-21,NUMBI GATE,10:00,10:59
11:00 - 11:59,,282,205,77,2019-12-15,2019-12-21,NUMBI GATE,11:00,11:59
12:00 - 12:59,,180,126,54,2019-12-15,2019-12-21,NUMBI GATE,12:00,12:59
13:00 - 13:59,,164,83,81,2019-12-15,2019-12-21,NUMBI GATE,13:00,13:59
