hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
07:00 - 07:59,,959,902,57,2018-07-15,2018-07-21,CROCODILE BRIDGE GATE,07:00,07:59
14:00 - 14:59,,230,171,59,2018-07-15,2018-07-21,CROCODILE BRIDGE GATE,14:00,14:59
15:00 - 15:59,,208,133,75,2018-07-15,2018-07-21,CROCODILE BRIDGE GATE,15:00,15:59
05:00 - 05:59,,218,218,0,2018-07-15,2018-07-21,CROCODILE BRIDGE GATE,05:00,05:59
06:00 - 06:59,,1544,1430,114,2018-07-15,2018-07-21,CROCODILE BRIDGE GATE,06:00,06:59
08:00 - 08:59,,858,758,100,2018-07-15,2018-07-21,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,848,789,59,2018-07-15,2018-07-21,CROCODILE BRIDGE GATE,09:00,09:59
10:00 - 10:59,,813,717,96,2018-07-15,2018-07-21,CROCODILE BRIDGE GATE,10:00,10:59
11:00 - 11:59,,521,420,101,2018-07-15,2018-07-21,CROCODILE BRIDGE GATE,11:00,11:59
12:00 - 12:59,,325,210,115,2018-07-15,2018-07-21,CROCODILE BRIDGE GATE,12:00,12:59
13:00 - 13:59,,370,200,170,2018-07-15,2018-07-21,CROCODILE BRIDGE GATE,13:00,13:59
16:00 - 16:59,,108,78,30,2018-07-15,2018-07-21,CROCODILE BRIDGE GATE,16:00,16:59
17:00 - 17:59,,5,1,4,2018-07-15,2018-07-21,CROCODILE BRIDGE GATE,17:00,17:59
08:00 - 08:59,,14,14,0,2018-07-15,2018-07-21,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,21,21,0,2018-07-15,2018-07-21,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,30,30,0,2018-07-15,2018-07-21,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,17,7,10,2018-07-15,2018-07-21,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,29,20,9,2018-07-15,2018-07-21,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,17,11,6,2018-07-15,2018-07-21,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,26,24,2,2018-07-15,2018-07-21,GIRIYONDO BORDER GATE,14:00,14:59
15:00 - 15:59,,6,6,0,2018-07-15,2018-07-21,GIRIYONDO BORDER GATE,15:00,15:59
05:00 - 05:59,,77,77,0,2018-07-15,2018-07-21,KRUGER GATE,05:00,05:59
06:00 - 06:59,,675,663,12,2018-07-15,2018-07-21,KRUGER GATE,06:00,06:59
07:00 - 07:59,,355,340,15,2018-07-15,2018-07-21,KRUGER GATE,07:00,07:59
08:00 - 08:59,,491,456,35,2018-07-15,2018-07-21,KRUGER GATE,08:00,08:59
09:00 - 09:59,,627,575,52,2018-07-15,2018-07-21,KRUGER GATE,09:00,09:59
10:00 - 10:59,,508,443,65,2018-07-15,2018-07-21,KRUGER GATE,10:00,10:59
