hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
10:00 - 10:59,,470,409,61,2019-04-07,2019-04-13,CROCODILE BRIDGE GATE,10:00,10:59
05:00 - 05:59,,269,262,7,2019-04-07,2019-04-13,CROCODILE BRIDGE GATE,05:00,05:59
06:00 - 06:59,,1333,1244,89,2019-04-07,2019-04-13,CROCODILE BRIDGE GATE,06:00,06:59
07:00 - 07:59,,719,682,37,2019-04-07,2019-04-13,CROCODILE BRIDGE GATE,07:00,07:59
08:00 - 08:59,,695,638,57,2019-04-07,2019-04-13,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,633,581,52,2019-04-07,2019-04-13,CROCODILE BRIDGE GATE,09:00,09:59
11:00 - 11:59,,361,291,70,2019-04-07,2019-04-13,CROCODILE BRIDGE GATE,11:00,11:59
12:00 - 12:59,,250,156,94,2019-04-07,2019-04-13,CROCODILE BRIDGE GATE,12:00,12:59
13:00 - 13:59,,148,81,67,2019-04-07,2019-04-13,CROCODILE BRIDGE GATE,13:00,13:59
14:00 - 14:59,,171,88,83,2019-04-07,2019-04-13,CROCODILE BRIDGE GATE,14:00,14:59
15:00 - 15:59,,193,131,62,2019-04-07,2019-04-13,CROCODILE BRIDGE GATE,15:00,15:59
16:00 - 16:59,,104,37,67,2019-04-07,2019-04-13,CROCODILE BRIDGE GATE,16:00,16:59
17:00 - 17:59,,29,6,23,2019-04-07,2019-04-13,CROCODILE BRIDGE GATE,17:00,17:59
18:00 - 18:59,,27,2,25,2019-04-07,2019-04-13,CROCODILE BRIDGE GATE,18:00,18:59
08:00 - 08:59,,13,13,0,2019-04-07,2019-04-13,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,6,6,0,2019-04-07,2019-04-13,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,7,7,0,2019-04-07,2019-04-13,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,16,16,0,2019-04-07,2019-04-13,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,2,2,0,2019-04-07,2019-04-13,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,27,20,7,2019-04-07,2019-04-13,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,4,1,3,2019-04-07,2019-04-13,GIRIYONDO BORDER GATE,14:00,14:59
16:00 - 16:59,,38,38,0,2019-04-07,2019-04-13,GIRIYONDO BORDER GATE,16:00,16:59
05:00 - 05:59,,151,151,0,2019-04-07,2019-04-13,KRUGER GATE,05:00,05:59
06:00 - 06:59,,697,665,32,2019-04-07,2019-04-13,KRUGER GATE,06:00,06:59
07:00 - 07:59,,324,299,25,2019-04-07,2019-04-13,KRUGER GATE,07:00,07:59
08:00 - 08:59,,407,396,11,2019-04-07,2019-04-13,KRUGER GATE,08:00,08:59
09:00 - 09:59,,368,347,21,2019-04-07,2019-04-13,KRUGER GATE,09:00,09:59
10:00 - 10:59,,337,303,34,2019-04-07,2019-04-13,KRUGER GATE,10:00,10:59
11:00 - 11:59,,223,180,43,2019-04-07,2019-04-13,KRUGER GATE,11:00,11:59
12:00 - 12:59,,195,152,43,2019-04-07,2019-04-13,KRUGER GATE,12:00,12:59
13:00 - 13:59,,177,143,34,2019-04-07,2019-04-13,KRUGER GATE,13:00,13:59
14:00 - 14:59,,135,84,51,2019-04-07,2019-04-13,KRUGER GATE,14:00,14:59
15:00 - 15:59,,124,74,50,2019-04-07,2019-04-13,KRUGER GATE,15:00,15:59
16:00 - 16:59,,91,60,31,2019-04-07,2019-04-13,KRUGER GATE,16:00,16:59
17:00 - 17:59,,121,81,40,2019-04-07,2019-04-13,KRUGER GATE,17:00,17:59
05:00 - 05:59,,302,53,249,2019-04-07,2019-04-13,MALELANE GATE,05:00,05:59
06:00 - 06:59,,690,363,327,2019-04-07,2019-04-13,MALELANE GATE,06:00,06:59
07:00 - 07:59,,289,164,125,2019-04-07,2019-04-13,MALELANE GATE,07:00,07:59
08:00 - 08:59,,387,306,81,2019-04-07,2019-04-13,MALELANE GATE,08:00,08:59
09:00 - 09:59,,378,283,95,2019-04-07,2019-04-13,MALELANE GATE,09:00,09:59
10:00 - 10:59,,487,372,115,2019-04-07,2019-04-13,MALELANE GATE,10:00,10:59
11:00 - 11:59,,446,320,126,2019-04-07,2019-04-13,MALELANE GATE,11:00,11:59
12:00 - 12:59,,292,105,187,2019-04-07,2019-04-13,MALELANE GATE,12:00,12:59
13:00 - 13:59,,316,104,212,2019-04-07,2019-04-13,MALELANE GATE,13:00,13:59
14:00 - 14:59,,258,53,205,2019-04-07,2019-04-13,MALELANE GATE,14:00,14:59
15:00 - 15:59,,269,60,209,2019-04-07,2019-04-13,MALELANE GATE,15:00,15:59
16:00 - 16:59,,199,73,126,2019-04-07,2019-04-13,MALELANE GATE,16:00,16:59
17:00 - 17:59,,118,15,103,2019-04-07,2019-04-13,MALELANE GATE,17:00,17:59
05:00 - 05:59,,723,722,1,2019-04-07,2019-04-13,NUMBI GATE,05:00,05:59
06:00 - 06:59,,805,798,7,2019-04-07,2019-04-13,NUMBI GATE,06:00,06:59
07:00 - 07:59,,125,114,11,2019-04-07,2019-04-13,NUMBI GATE,07:00,07:59
08:00 - 08:59,,141,132,9,2019-04-07,2019-04-13,NUMBI GATE,08:00,08:59
09:00 - 09:59,,205,171,34,2019-04-07,2019-04-13,NUMBI GATE,09:00,09:59
10:00 - 10:59,,137,107,30,2019-04-07,2019-04-13,NUMBI GATE,10:00,10:59
11:00 - 11:59,,150,88,62,2019-04-07,2019-04-13,NUMBI GATE,11:00,11:59
12:00 - 12:59,,133,66,67,2019-04-07,2019-04-13,NUMBI GATE,12:00,12:59
13:00 - 13:59,,209,122,87,2019-04-07,2019-04-13,NUMBI GATE,13:00,13:59
14:00 - 14:59,,132,104,28,2019-04-07,2019-04-13,NUMBI GATE,14:00,14:59
15:00 - 15:59,,92,40,52,2019-04-07,2019-04-13,NUMBI GATE,15:00,15:59
16:00 - 16:59,,132,55,77,2019-04-07,2019-04-13,NUMBI GATE,16:00,16:59
17:00 - 17:59,,29,6,23,2019-04-07,2019-04-13,NUMBI GATE,17:00,17:59
18:00 - 18:59,,2,0,2,2019-04-07,2019-04-13,NUMBI GATE,18:00,18:59
10:00 - 10:59,,90,90,0,2019-04-07,2019-04-13,ORPEN GATE,10:00,10:59
11:00 - 11:59,,46,46,0,2019-04-07,2019-04-13,ORPEN GATE,11:00,11:59
12:00 - 12:59,,34,34,0,2019-04-07,2019-04-13,ORPEN GATE,12:00,12:59
13:00 - 13:59,,8,8,0,2019-04-07,2019-04-13,ORPEN GATE,13:00,13:59
14:00 - 14:59,,89,89,0,2019-04-07,2019-04-13,ORPEN GATE,14:00,14:59
15:00 - 15:59,,100,100,0,2019-04-07,2019-04-13,ORPEN GATE,15:00,15:59
16:00 - 16:59,,86,86,0,2019-04-07,2019-04-13,ORPEN GATE,16:00,16:59
18:00 - 18:59,,2,0,2,2019-04-07,2019-04-13,ORPEN GATE,18:00,18:59
06:00 - 06:59,,14,12,2,2019-04-07,2019-04-13,PAFURI GATE,06:00,06:59
07:00 - 07:59,,10,8,2,2019-04-07,2019-04-13,PAFURI GATE,07:00,07:59
08:00 - 08:59,,5,3,2,2019-04-07,2019-04-13,PAFURI GATE,08:00,08:59
09:00 - 09:59,,23,13,10,2019-04-07,2019-04-13,PAFURI GATE,09:00,09:59
10:00 - 10:59,,16,7,9,2019-04-07,2019-04-13,PAFURI GATE,10:00,10:59
11:00 - 11:59,,37,19,18,2019-04-07,2019-04-13,PAFURI GATE,11:00,11:59
12:00 - 12:59,,65,8,57,2019-04-07,2019-04-13,PAFURI GATE,12:00,12:59
13:00 - 13:59,,31,17,14,2019-04-07,2019-04-13,PAFURI GATE,13:00,13:59
14:00 - 14:59,,15,5,10,2019-04-07,2019-04-13,PAFURI GATE,14:00,14:59
15:00 - 15:59,,2,0,2,2019-04-07,2019-04-13,PAFURI GATE,15:00,15:59
16:00 - 16:59,,26,22,4,2019-04-07,2019-04-13,PAFURI GATE,16:00,16:59
05:00 - 05:59,,444,419,25,2019-04-07,2019-04-13,PHABENI GATE,05:00,05:59
06:00 - 06:59,,1368,1180,188,2019-04-07,2019-04-13,PHABENI GATE,06:00,06:59
07:00 - 07:59,,559,517,42,2019-04-07,2019-04-13,PHABENI GATE,07:00,07:59
08:00 - 08:59,,459,431,28,2019-04-07,2019-04-13,PHABENI GATE,08:00,08:59
09:00 - 09:59,,519,416,103,2019-04-07,2019-04-13,PHABENI GATE,09:00,09:59
10:00 - 10:59,,344,241,103,2019-04-07,2019-04-13,PHABENI GATE,10:00,10:59
11:00 - 11:59,,208,128,80,2019-04-07,2019-04-13,PHABENI GATE,11:00,11:59
12:00 - 12:59,,276,143,133,2019-04-07,2019-04-13,PHABENI GATE,12:00,12:59
