hour,date,total,day,overnight,start_date,end_date,camp,start_time,end_time
08:00 - 08:59,,1591,1486,105,2018-12-23,2018-12-29,CROCODILE BRIDGE GATE,08:00,08:59
09:00 - 09:59,,848,682,166,2018-12-23,2018-12-29,CROCODILE BRIDGE GATE,09:00,09:59
10:00 - 10:59,,588,464,124,2018-12-23,2018-12-29,CROCODILE BRIDGE GATE,10:00,10:59
11:00 - 11:59,,334,267,67,2018-12-23,2018-12-29,CROCODILE BRIDGE GATE,11:00,11:59
12:00 - 12:59,,268,185,83,2018-12-23,2018-12-29,CROCODILE BRIDGE GATE,12:00,12:59
05:00 - 05:59,,1786,1659,127,2018-12-23,2018-12-29,CROCODILE BRIDGE GATE,05:00,05:59
06:00 - 06:59,,2355,2106,249,2018-12-23,2018-12-29,CROCODILE BRIDGE GATE,06:00,06:59
07:00 - 07:59,,2057,1916,141,2018-12-23,2018-12-29,CROCODILE BRIDGE GATE,07:00,07:59
13:00 - 13:59,,308,262,46,2018-12-23,2018-12-29,CROCODILE BRIDGE GATE,13:00,13:59
14:00 - 14:59,,718,663,55,2018-12-23,2018-12-29,CROCODILE BRIDGE GATE,14:00,14:59
15:00 - 15:59,,477,447,30,2018-12-23,2018-12-29,CROCODILE BRIDGE GATE,15:00,15:59
16:00 - 16:59,,271,211,60,2018-12-23,2018-12-29,CROCODILE BRIDGE GATE,16:00,16:59
17:00 - 17:59,,69,62,7,2018-12-23,2018-12-29,CROCODILE BRIDGE GATE,17:00,17:59
18:00 - 18:59,,15,9,6,2018-12-23,2018-12-29,CROCODILE BRIDGE GATE,18:00,18:59
08:00 - 08:59,,37,37,0,2018-12-23,2018-12-29,GIRIYONDO BORDER GATE,08:00,08:59
09:00 - 09:59,,44,38,6,2018-12-23,2018-12-29,GIRIYONDO BORDER GATE,09:00,09:59
10:00 - 10:59,,70,61,9,2018-12-23,2018-12-29,GIRIYONDO BORDER GATE,10:00,10:59
11:00 - 11:59,,34,28,6,2018-12-23,2018-12-29,GIRIYONDO BORDER GATE,11:00,11:59
12:00 - 12:59,,47,28,19,2018-12-23,2018-12-29,GIRIYONDO BORDER GATE,12:00,12:59
13:00 - 13:59,,57,51,6,2018-12-23,2018-12-29,GIRIYONDO BORDER GATE,13:00,13:59
14:00 - 14:59,,49,23,26,2018-12-23,2018-12-29,GIRIYONDO BORDER GATE,14:00,14:59
15:00 - 15:59,,25,6,19,2018-12-23,2018-12-29,GIRIYONDO BORDER GATE,15:00,15:59
16:00 - 16:59,,8,0,8,2018-12-23,2018-12-29,GIRIYONDO BORDER GATE,16:00,16:59
05:00 - 05:59,,744,722,22,2018-12-23,2018-12-29,KRUGER GATE,05:00,05:59
06:00 - 06:59,,1038,994,44,2018-12-23,2018-12-29,KRUGER GATE,06:00,06:59
07:00 - 07:59,,671,647,24,2018-12-23,2018-12-29,KRUGER GATE,07:00,07:59
08:00 - 08:59,,806,763,43,2018-12-23,2018-12-29,KRUGER GATE,08:00,08:59
09:00 - 09:59,,864,838,26,2018-12-23,2018-12-29,KRUGER GATE,09:00,09:59
10:00 - 10:59,,827,751,76,2018-12-23,2018-12-29,KRUGER GATE,10:00,10:59
11:00 - 11:59,,809,715,94,2018-12-23,2018-12-29,KRUGER GATE,11:00,11:59
12:00 - 12:59,,689,615,74,2018-12-23,2018-12-29,KRUGER GATE,12:00,12:59
13:00 - 13:59,,576,486,90,2018-12-23,2018-12-29,KRUGER GATE,13:00,13:59
14:00 - 14:59,,426,358,68,2018-12-23,2018-12-29,KRUGER GATE,14:00,14:59
15:00 - 15:59,,319,244,75,2018-12-23,2018-12-29,KRUGER GATE,15:00,15:59
16:00 - 16:59,,171,110,61,2018-12-23,2018-12-29,KRUGER GATE,16:00,16:59
17:00 - 17:59,,73,49,24,2018-12-23,2018-12-29,KRUGER GATE,17:00,17:59
18:00 - 18:59,,55,14,41,2018-12-23,2018-12-29,KRUGER GATE,18:00,18:59
05:00 - 05:59,,649,300,349,2018-12-23,2018-12-29,MALELANE GATE,05:00,05:59
06:00 - 06:59,,538,429,109,2018-12-23,2018-12-29,MALELANE GATE,06:00,06:59
07:00 - 07:59,,382,309,73,2018-12-23,2018-12-29,MALELANE GATE,07:00,07:59
08:00 - 08:59,,262,225,37,2018-12-23,2018-12-29,MALELANE GATE,08:00,08:59
09:00 - 09:59,,355,306,49,2018-12-23,2018-12-29,MALELANE GATE,09:00,09:59
10:00 - 10:59,,598,382,216,2018-12-23,2018-12-29,MALELANE GATE,10:00,10:59
11:00 - 11:59,,640,487,153,2018-12-23,2018-12-29,MALELANE GATE,11:00,11:59
12:00 - 12:59,,768,512,256,2018-12-23,2018-12-29,MALELANE GATE,12:00,12:59
13:00 - 13:59,,390,238,152,2018-12-23,2018-12-29,MALELANE GATE,13:00,13:59
14:00 - 14:59,,421,247,174,2018-12-23,2018-12-29,MALELANE GATE,14:00,14:59
15:00 - 15:59,,306,185,121,2018-12-23,2018-12-29,MALELANE GATE,15:00,15:59
16:00 - 16:59,,222,151,71,2018-12-23,2018-12-29,MALELANE GATE,16:00,16:59
17:00 - 17:59,,364,258,106,2018-12-23,2018-12-29,MALELANE GATE,17:00,17:59
18:00 - 18:59,,386,286,100,2018-12-23,2018-12-29,MALELANE GATE,18:00,18:59
05:00 - 05:59,,1039,1004,35,2018-12-23,2018-12-29,NUMBI GATE,05:00,05:59
06:00 - 06:59,,1195,1177,18,2018-12-23,2018-12-29,NUMBI GATE,06:00,06:59
07:00 - 07:59,,687,639,48,2018-12-23,2018-12-29,NUMBI GATE,07:00,07:59
08:00 - 08:59,,408,383,25,2018-12-23,2018-12-29,NUMBI GATE,08:00,08:59
09:00 - 09:59,,503,469,34,2018-12-23,2018-12-29,NUMBI GATE,09:00,09:59
10:00 - 10:59,,597,570,27,2018-12-23,2018-12-29,NUMBI GATE,10:00,10:59
11:00 - 11:59,,618,542,76,2018-12-23,2018-12-29,NUMBI GATE,11:00,11:59
12:00 - 12:59,,482,401,81,2018-12-23,2018-12-29,NUMBI GATE,12:00,12:59
13:00 - 13:59,,464,285,179,2018-12-23,2018-12-29,NUMBI GATE,13:00,13:59
14:00 - 14:59,,242,135,107,2018-12-23,2018-12-29,NUMBI GATE,14:00,14:59
15:00 - 15:59,,143,79,64,2018-12-23,2018-12-29,NUMBI GATE,15:00,15:59
